ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
670,0.5002,NA,NA,NA,NA,121400000,1.88,2464,0.5675,NA,NA,283.6,0.6585
671,0.5477,NA,NA,NA,NA,71810,1.605,11490,0.5391,NA,NA,268.5,0.7557
844.1,0.5252,NA,NA,NA,NA,1277000,1.708,14110,0.501,NA,NA,343.2,0.6885
1007,0.5389,NA,NA,NA,NA,199100,1.512,3575,0.5143,NA,NA,402.9,0.6424
762.5,0.5372,NA,NA,NA,NA,8.11E+09,0.8416,6131,0.5802,NA,NA,532.5,0.5324
886,0.5437,NA,NA,NA,NA,158700,0.8637,1317,0.8945,NA,NA,357.3,0.7075
686.4,0.5806,NA,NA,NA,NA,27080000,1.149,5121,0.5281,NA,NA,377.1,0.5896
806.7,0.5138,NA,NA,NA,NA,2526,1.749,5727,0.5022,NA,NA,419.9,0.6229
640.7,0.5366,NA,NA,NA,NA,8859,1.948,5233,0.6009,NA,NA,550.9,0.5193
1060,0.5002,NA,NA,NA,NA,6338000,1.429,3578,0.5033,NA,NA,275.2,0.6902
931.7,0.5538,NA,NA,NA,NA,1096000,1.253,2232,0.5552,NA,NA,459.9,0.5316
844.9,0.6251,NA,NA,NA,NA,304900,1.201,2617,0.5874,NA,NA,578.1,0.5418
455.2,0.7499,NA,NA,NA,NA,6.72E+09,0.7284,5439,0.5486,NA,NA,529.3,0.5066
626.3,0.5306,NA,NA,NA,NA,1455000,1.278,3403,0.5107,NA,NA,442.8,0.5451
646.3,0.5217,NA,NA,NA,NA,450900,1.863,2504,0.551,NA,NA,464.9,0.6301
397.2,0.6912,NA,NA,NA,NA,63000,1.331,2790,0.6192,NA,NA,479.1,0.5688
479.8,0.7115,NA,NA,NA,NA,512800,1.102,1426,0.5455,NA,NA,437.9,0.5632
595,0.795,NA,NA,NA,NA,386200,1.151,12040,0.5103,NA,NA,493.3,0.5619
621.6,0.6113,NA,NA,NA,NA,1.31E+09,0.5632,11660,0.518,NA,NA,517.1,0.5175
687.7,0.6277,NA,NA,NA,NA,139800000,0.8068,11660,0.518,NA,NA,453.2,0.5612
245.5,0.8548,NA,NA,NA,NA,45640000,1.049,5952,0.5372,NA,NA,488.2,0.5617
686.2,0.623,NA,NA,NA,NA,345100000,1,3972,0.8089,NA,NA,513.8,0.5547
564.4,0.63,NA,NA,NA,NA,13980000,1.135,10830,1.42,NA,NA,443.6,0.5544
740.9,0.5178,NA,NA,NA,NA,502300,1.887,7448,1.15,NA,NA,378.5,0.5865
788.6,0.5081,NA,NA,NA,NA,25940000,1.324,1406,0.7107,NA,NA,525.8,0.5824
713.9,0.5139,NA,NA,NA,NA,3.90E+09,1.515,2004,0.5814,NA,NA,683.2,0.5361
1033,0.5147,NA,NA,NA,NA,399900000,1.806,5697,0.5227,NA,NA,417.8,0.5339
710.1,0.5597,NA,NA,NA,NA,4412,1.158,4101,0.5812,NA,NA,338.1,0.6241
908.2,0.5491,NA,NA,NA,NA,85220,1.413,4813,0.5169,NA,NA,288,0.705
675.3,0.5647,NA,NA,NA,NA,736900,0.9013,4878,0.5026,NA,NA,348.4,0.5479
704.7,0.7144,NA,NA,NA,NA,729500000,1.303,4878,0.5026,NA,NA,340.3,0.5422
1008,0.5147,NA,NA,NA,NA,4.73E+09,1.102,1844,0.762,NA,NA,334.9,0.6056
665.4,0.5946,NA,NA,NA,NA,3.49E+09,1.588,5684,0.5194,NA,NA,431.1,0.5151
644,0.5808,NA,NA,NA,NA,103300000,0.7387,18280,0.5069,NA,NA,383.4,0.6071
1333,0.5131,NA,NA,NA,NA,1296000,0.6836,28060,0.5801,NA,NA,397.9,0.5799
1037,0.505,NA,NA,NA,NA,1102000,1.897,1467,0.9041,NA,NA,416.7,0.5337
886.7,0.5006,NA,NA,NA,NA,52220,1.092,2354,0.8718,NA,NA,411,0.5947
795.7,0.5469,NA,NA,NA,NA,13130000,1.535,1083,0.927,NA,NA,420.5,0.5404
791.3,0.5039,NA,NA,NA,NA,951700,1.531,3876,0.9032,NA,NA,368.6,0.643
921.1,0.5114,NA,NA,NA,NA,33550000,0.8508,6872,0.5018,NA,NA,424.6,0.5602
746,0.5175,NA,NA,NA,NA,44040,1.127,2114,0.7691,NA,NA,230.7,0.6633
923.9,0.5108,NA,NA,NA,NA,19770,1.219,1789,1.099,NA,NA,298.4,0.5356
785.5,0.526,NA,NA,NA,NA,9904000,0.9564,4170,0.5962,NA,NA,392.8,0.5817
956.2,0.5636,NA,NA,NA,NA,200600,1.244,31680,0.5186,NA,NA,436.8,0.5741
712.7,0.5511,NA,NA,NA,NA,19370000,0.938,30150,0.5097,NA,NA,483.9,0.5698
761,0.5028,NA,NA,NA,NA,1.23E+08,0.9849,1012,0.7828,NA,NA,513.5,0.5633
1026,0.5405,NA,NA,NA,NA,20290,1.312,1046,1.105,NA,NA,625,0.503
567.5,0.6058,NA,NA,NA,NA,17020000,0.7669,784.9,0.8344,NA,NA,516.2,0.587
715.1,0.6519,NA,NA,NA,NA,243500000,1.361,6251,0.6026,NA,NA,245.9,0.7877
553,0.7704,NA,NA,NA,NA,9247,0.7671,3757,0.5284,NA,NA,270.9,0.8038
310,0.8016,NA,NA,NA,NA,13390,1.533,5659,0.521,NA,NA,376.2,0.6583
737.2,0.7539,NA,NA,NA,NA,1.97E+09,1.396,585.2,0.7553,NA,NA,352.7,0.6618
517.1,0.5921,NA,NA,NA,NA,158400000,1.273,29700,0.8355,NA,NA,498,0.5739
783.4,0.5067,NA,NA,NA,NA,29980000,1.55,7900,0.5744,NA,NA,542.9,0.6068
709.4,0.5312,NA,NA,NA,NA,200700000,1.608,6242,0.5211,NA,NA,291.1,0.5673
1354,0.5222,NA,NA,NA,NA,16390000,0.7211,3921,0.5302,NA,NA,484.7,0.5897
1141,0.5031,NA,NA,NA,NA,3.30E+09,0.9441,5834,0.5269,NA,NA,508.4,0.5633
724,0.503,NA,NA,NA,NA,627900,1.793,6098,0.6088,NA,NA,399,0.5546
702.2,0.5978,NA,NA,NA,NA,188000,1.641,2018000,1.144,NA,NA,559.5,0.5168
794.6,0.5419,NA,NA,NA,NA,141300000,0.9233,9821,0.5937,NA,NA,493.9,0.5607
688.7,0.5784,NA,NA,NA,NA,535800,1.771,3294,0.7294,NA,NA,527.3,0.5023
673.2,0.5521,NA,NA,NA,NA,10470000,0.6679,6089,0.8765,NA,NA,455.1,0.5888
716.4,0.6146,NA,NA,NA,NA,550200000,0.6682,2853,0.8113,NA,NA,381.8,0.5476
889.3,0.534,NA,NA,NA,NA,9.04E+09,1.723,735,1.212,NA,NA,461.3,0.5663
716.9,0.5833,NA,NA,NA,NA,1.44E+09,1.86,2633,0.5477,NA,NA,413.7,0.5972
956.4,0.5026,NA,NA,NA,NA,163100000,0.9672,4347,0.5973,NA,NA,581.3,0.5271
953.3,0.5092,NA,NA,NA,NA,118800,1.907,1261,0.7603,NA,NA,439.2,0.5562
