Kmax,Ku,n,halfmax,Vhalf,slope
1387000,0.0005667,0.5,14410000,-81.82,0.09625
1969000,0.0004127,0.5025,17320000,-130.5,0.1137
1595000,0.0007495,0.5,13960000,-135.9,0.1143
4211000,0.0005271,0.5198,45490000,-92.71,0.09257
9170000,0.0008853,0.5664,105400000,-156.3,0.087
1461000,0.0004847,0.576,18950000,-166.2,0.0771
356800,0.0003678,0.6286,5817000,-140.6,0.06134
2335000,0.0006318,0.5,21810000,-133.8,0.1071
4141000,0.0007953,0.5,41620000,-159.4,0.0995
2935000,0.000695,0.5,31420000,-81.89,0.09341
1072000,0.0007112,0.5,8824000,-184.8,0.1215
7876000,0.0006265,0.5,70080000,-182.7,0.1124
26880000,0.001136,0.5358,287900000,-167.3,0.09337
4238000,0.0008144,0.5,37880000,-170.9,0.1119
5741000,0.0004428,0.5,55200000,-87.65,0.104
2338000,0.0006599,0.5,20940000,-185.4,0.1117
1736000,0.0004058,0.5099,16850000,-162,0.103
1046000,0.0006869,0.5246,11140000,-81.36,0.0939
2022000,0.0009208,0.5,18780000,-166.7,0.1077
2515000,0.0006086,0.5369,27980000,-176.1,0.08989
2191000,0.0005483,0.5174,21940000,-155,0.09986
355300,0.001038,0.5676,4040000,-116.6,0.08795
3752000,0.0007445,0.5,32610000,-100.2,0.1151
1601000,0.0009102,0.5,14440000,-95.97,0.1109
1319000,0.0004223,0.5847,18170000,-91.41,0.07259
11060000,0.001254,0.5418,123600000,-155.7,0.08948
1746000,0.0006624,0.5,15310000,-166.6,0.114
978200,0.0003666,0.5,8420000,-124.7,0.1162
2088000,0.0005624,0.6089,31290000,-184.2,0.06673
522100,0.00075,0.5337,5309000,-155.9,0.09834
8559000,0.0007676,0.5298,90710000,-191.3,0.09436
3201000,0.0007079,0.5,31280000,-105.4,0.1023
1423000,0.0005987,0.5,14380000,-90.97,0.09896
1752000,0.0005569,0.5236,18100000,-88.54,0.0968
585300,0.0005763,0.5828,7762000,-174.1,0.07541
5121000,0.0008126,0.5,49130000,-88.56,0.1042
5283000,0.0007775,0.5,47120000,-133.4,0.1121
476700,0.0008772,0.5,4628000,-198.8,0.103
17300000,0.001079,0.5258,180500000,-169.8,0.09584
875300,0.0007124,0.5615,10040000,-154.4,0.08718
1049000,0.0007355,0.5,10190000,-179.2,0.1029
1932000,0.00055,0.5156,20700000,-168.9,0.09333
3954000,0.001014,0.5,35810000,-86.84,0.1104
1063000,0.0006119,0.5773,13440000,-177,0.07909
3258000,0.0005013,0.5142,31470000,-88.01,0.1035
2032000,0.0005301,0.5,19110000,-184.4,0.1063
2155000,0.0008941,0.5,19910000,-80.49,0.1082
5977000,0.0003501,0.5,53240000,-143.6,0.1123
1965000,0.0007752,0.527,21020000,-87.02,0.09348
10280000,0.0006854,0.5,97460000,-166.1,0.1055
27970000,0.0007016,0.5014,250700000,-162.7,0.1116
768700,0.000659,0.513,7438000,-188.1,0.1033
1240000,0.0005386,0.5753,16010000,-181.3,0.07745
2322000,0.0004923,0.5382,26870000,-87.59,0.08642
685600,0.0004903,0.5,6718000,-86.14,0.1021
3136000,0.0006707,0.5289,33920000,-174.8,0.09245
1389000,0.0007467,0.5625,15920000,-100.1,0.08725
3506000,0.000685,0.52,34160000,-173.1,0.1026
3563000,0.0004773,0.5,31750000,-140.8,0.1122
1214000,0.0003995,0.5,12560000,-79.37,0.09666
2091000,0.0004088,0.5374,23230000,-84.34,0.09001
3906000,0.000945,0.5,34900000,-104,0.1119
982900,0.0006795,0.5,8437000,-90.1,0.1165
9754000,0.0006606,0.5007,93920000,-156,0.1039
1663000,0.0007077,0.5,14510000,-92.84,0.1146
6168000,0.0007768,0.5,50070000,-86.86,0.1232
2530000,0.0005833,0.503,23650000,-89.2,0.107
803300,0.0007794,0.5406,8486000,-91.25,0.09466
391700,0.0008599,0.5442,4289000,-153.3,0.09133
13490000,0.0007643,0.5307,138500000,-171,0.0974
2949000,0.000963,0.5,29670000,-95.81,0.09939
2143000,0.0004196,0.5154,21880000,-83.47,0.09794
1247000,0.0005162,0.5207,12540000,-88.84,0.09944
4119000,0.000543,0.5,37450000,-103.1,0.11
11400000,0.000614,0.5149,105800000,-178.1,0.1078
10230000,0.001194,0.5,96890000,-162.2,0.1056
2506000,0.0005082,0.5387,27230000,-89.98,0.09203
3236000,0.0005393,0.5013,30770000,-86.25,0.1052
14520000,0.0006781,0.5122,138700000,-171.1,0.1047
2420000,0.0006694,0.5,25540000,-101,0.09475
