ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
228.7,0.5849,NA,NA,NA,NA,130.8,0.6017,30210000,0.8841,NA,NA,20.26,1.713
192.6,0.5988,NA,NA,NA,NA,293.5,0.5591,68620,1.331,NA,NA,19.77,1.511
241.9,0.5923,NA,NA,NA,NA,211.1,0.5322,7869000,0.5411,NA,NA,22.04,1.568
447.9,0.5448,NA,NA,NA,NA,147.8,0.8071,53530000,0.6195,NA,NA,21.22,1.507
637.5,0.5003,NA,NA,NA,NA,200.7,0.6044,215700000,0.8493,NA,NA,20.81,1.562
165.6,0.5944,NA,NA,NA,NA,200,0.6426,211600,1.378,NA,NA,22.69,1.59
195.3,0.5985,NA,NA,NA,NA,157.9,0.6613,69840000,0.5995,NA,NA,23.74,1.462
259.2,0.5305,NA,NA,NA,NA,382.6,0.5023,362800,1.233,NA,NA,20.66,1.494
198.3,0.619,NA,NA,NA,NA,303.4,0.5269,17960,1.194,NA,NA,19.5,1.77
144.3,0.6183,NA,NA,NA,NA,142.5,0.8525,2274,1.777,NA,NA,22.71,1.58
209.7,0.5718,NA,NA,NA,NA,180.1,0.5402,15840,1.388,NA,NA,21.93,1.656
207.6,0.5553,NA,NA,NA,NA,146.1,0.665,185800,1.393,NA,NA,23.08,1.927
184.3,0.6321,NA,NA,NA,NA,196.6,0.55,8.74E+09,1.199,NA,NA,21.59,1.791
276.2,0.5674,NA,NA,NA,NA,111.2,0.755,446200000,1.556,NA,NA,23.25,1.724
279.2,0.5334,NA,NA,NA,NA,378.9,0.572,155300,1.739,NA,NA,21.91,1.605
303.4,0.5761,NA,NA,NA,NA,579.9,0.5693,13360000,0.5443,NA,NA,22.06,1.643
577.4,0.5475,NA,NA,NA,NA,155.4,0.8167,697200,1.187,NA,NA,20.21,1.44
504.6,0.5929,NA,NA,NA,NA,188.4,0.7418,9.82E+09,0.9505,NA,NA,21.25,1.553
486.7,0.6562,NA,NA,NA,NA,118.8,0.7586,29530000,1.475,NA,NA,20.45,1.707
305.4,0.5728,NA,NA,NA,NA,448.7,0.5752,405.4,1.496,NA,NA,23.4,1.866
207.2,0.5054,NA,NA,NA,NA,159.8,0.9154,345500,0.785,NA,NA,21.37,1.602
266.1,0.6156,NA,NA,NA,NA,250.1,0.6639,127300000,1.172,NA,NA,21.68,1.662
122.6,0.5969,NA,NA,NA,NA,154.8,0.775,8702,1.368,NA,NA,19.97,1.737
270.6,0.658,NA,NA,NA,NA,163.1,0.8269,28430000,1.905,NA,NA,21.81,1.727
158.1,0.879,NA,NA,NA,NA,450.8,0.562,8.34E+09,1.53,NA,NA,19.37,1.473
130.3,0.5928,NA,NA,NA,NA,332.4,0.5047,17600000,1.027,NA,NA,21.58,1.74
188.8,0.5365,NA,NA,NA,NA,242,0.7256,74660,1.82,NA,NA,21.57,1.578
179.1,0.5553,NA,NA,NA,NA,87.34,0.8806,3.32E+09,1.734,NA,NA,20.77,1.588
140.3,0.607,NA,NA,NA,NA,180.2,0.6406,3141,1.978,NA,NA,20.98,1.657
757.3,0.6241,NA,NA,NA,NA,190.6,0.7352,17430,0.6109,NA,NA,20.89,1.706
1485,0.5785,NA,NA,NA,NA,144.7,0.6111,290600,1.553,NA,NA,20.44,1.535
3562,0.5823,NA,NA,NA,NA,162.5,0.9232,40600,1.926,NA,NA,20.82,1.535
389.7,0.541,NA,NA,NA,NA,139.8,1.002,7.15E+09,0.6885,NA,NA,21.91,1.559
339.3,0.5216,NA,NA,NA,NA,184.7,0.8056,119000,1.428,NA,NA,19.48,1.592
259,0.5376,NA,NA,NA,NA,180.3,0.7117,67990000,1.359,NA,NA,21.41,1.676
272.5,0.5542,NA,NA,NA,NA,193.6,0.7126,3551,1.077,NA,NA,24.9,1.74
254.6,0.5682,NA,NA,NA,NA,171.9,0.5759,905400,1.494,NA,NA,25.07,1.752
312.3,0.5112,NA,NA,NA,NA,216.9,0.6346,8585,1.345,NA,NA,24.7,1.748
316.9,0.5037,NA,NA,NA,NA,144.7,0.5565,17110000,1.851,NA,NA,19.13,1.682
339,0.5123,NA,NA,NA,NA,607.6,0.5076,2.56E+09,1.301,NA,NA,21.09,1.715
337.4,0.5675,NA,NA,NA,NA,190.9,0.5793,17970000,1.097,NA,NA,19.95,1.383
252.7,0.7029,NA,NA,NA,NA,475.2,0.5287,2555000,0.6514,NA,NA,21.36,1.667
286.7,0.5856,NA,NA,NA,NA,101,0.7314,1993000,0.89,NA,NA,20.34,1.554
238.8,0.5261,NA,NA,NA,NA,212.6,0.5004,67680,1.303,NA,NA,21.01,1.587
328.5,0.5186,NA,NA,NA,NA,114,0.6753,2326000,1.465,NA,NA,19.12,1.682
373.2,0.519,NA,NA,NA,NA,155.7,0.8024,17960000,1.943,NA,NA,22.06,1.615
232.3,0.5735,NA,NA,NA,NA,422.9,0.6003,45610,1.366,NA,NA,24.67,1.505
266.8,0.5585,NA,NA,NA,NA,229.8,0.5427,8178,1.29,NA,NA,24.08,1.686
142.4,0.7815,NA,NA,NA,NA,769.9,0.5616,277500,0.8891,NA,NA,20.54,1.548
132.3,0.9007,NA,NA,NA,NA,429.8,0.5478,16820,0.8268,NA,NA,22.32,1.769
196.8,0.5876,NA,NA,NA,NA,100.5,0.6667,3094000,0.7758,NA,NA,22.96,1.573
214.1,0.5528,NA,NA,NA,NA,176,0.9009,73240,0.5266,NA,NA,20.64,1.659
268.5,0.55,NA,NA,NA,NA,362.9,0.9286,2.04E+09,1.292,NA,NA,20.64,1.57
242.7,0.5977,NA,NA,NA,NA,178.6,0.9037,149100000,1.421,NA,NA,21.61,1.631
285.8,0.5147,NA,NA,NA,NA,190.3,0.7221,1.40E+09,1.25,NA,NA,21.72,1.78
226.8,0.6297,NA,NA,NA,NA,231.3,0.6419,251300,0.7799,NA,NA,21.24,1.523
261.7,0.7694,NA,NA,NA,NA,222.5,0.5753,13080,0.7335,NA,NA,22.78,1.61
620.6,0.505,NA,NA,NA,NA,279,0.7505,84190,1.031,NA,NA,21.1,1.622
332.1,0.6122,NA,NA,NA,NA,280.2,0.5215,65130,0.8559,NA,NA,19.12,1.737
291.7,0.5403,NA,NA,NA,NA,192.6,0.6321,901800000,0.996,NA,NA,18.62,1.5
340.8,0.6052,NA,NA,NA,NA,92.11,0.6233,3110,1.913,NA,NA,20.61,1.606
126.3,0.8471,NA,NA,NA,NA,99.12,0.6985,2148000,0.9351,NA,NA,19.61,1.732
103.4,0.839,NA,NA,NA,NA,247.7,0.5605,2279,1.415,NA,NA,23.89,1.697
180,0.7677,NA,NA,NA,NA,137.9,0.7623,119500,1.321,NA,NA,20.53,1.524
258.6,0.5134,NA,NA,NA,NA,93.42,1.103,484400000,1.235,NA,NA,19.54,1.441
153.4,0.7362,NA,NA,NA,NA,120.8,0.68,2797,1.945,NA,NA,21.04,1.675
272.5,0.5174,NA,NA,NA,NA,132.8,0.8,10640,1.929,NA,NA,21.03,1.795
215.2,0.5736,NA,NA,NA,NA,746.6,0.6268,4504,1.417,NA,NA,20.43,1.563
190.7,0.5109,NA,NA,NA,NA,830.3,0.5555,39410000,0.6365,NA,NA,21.15,1.62
184.9,0.6892,NA,NA,NA,NA,100.3,1.339,403300,0.7375,NA,NA,21.19,1.533
