ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
171,0.502,NA,NA,NA,NA,2.99E+09,0.6067,1881,1.028,NA,NA,502.5,0.5011
159.1,0.5006,NA,NA,NA,NA,6.23E+09,0.9939,1302,0.8525,NA,NA,531.8,0.52
140.3,0.5124,NA,NA,NA,NA,11700000,1.71,2683,0.6073,NA,NA,475.1,0.5477
137.7,0.5667,NA,NA,NA,NA,201700,1.086,10360,0.6283,NA,NA,286.4,0.6713
154.3,0.5196,NA,NA,NA,NA,2965000,1.94,5884,0.5145,NA,NA,251.4,0.7008
259.5,0.5008,NA,NA,NA,NA,47480,1.408,3983,0.5979,NA,NA,304.5,1.395
102.5,0.5536,NA,NA,NA,NA,1004000,1.592,1782,0.5746,NA,NA,206.5,1.036
110,0.5666,NA,NA,NA,NA,116100000,0.9491,1703,0.5636,NA,NA,189.6,1.24
214.3,0.7047,NA,NA,NA,NA,24010,0.9539,4755,0.5748,NA,NA,248.1,0.5517
87.58,0.5412,NA,NA,NA,NA,167100,1.331,5640,0.8444,NA,NA,303.6,0.7197
96.27,0.5466,NA,NA,NA,NA,6995000,1.806,3493,0.5246,NA,NA,580.7,0.633
81.57,0.5808,NA,NA,NA,NA,257700000,1.882,13880,0.6332,NA,NA,230.8,1.105
202.6,0.605,NA,NA,NA,NA,37100,0.8151,4015,0.655,NA,NA,194.9,1.259
175.6,0.5528,NA,NA,NA,NA,32470000,0.6937,3665,0.6792,NA,NA,199.5,1.714
120.8,0.5309,NA,NA,NA,NA,471400000,0.6944,2140,0.6822,NA,NA,527.4,1.314
120.5,0.6394,NA,NA,NA,NA,139900,1.999,8733,0.5122,NA,NA,123,0.8776
92.27,0.5374,NA,NA,NA,NA,11510,1.536,2911,0.777,NA,NA,141.9,1.26
175.3,0.5892,NA,NA,NA,NA,6829000,1.022,2392,0.9259,NA,NA,276.9,0.6048
241.1,0.5132,NA,NA,NA,NA,464200000,1.818,2034,0.5999,NA,NA,369.8,0.5089
256.5,0.5298,NA,NA,NA,NA,2545000,1.011,3459,0.5356,NA,NA,520.6,0.5346
155.3,0.5543,NA,NA,NA,NA,482700000,1.028,1553,0.6716,NA,NA,237,0.8805
93.89,0.5399,NA,NA,NA,NA,14980000,0.7233,2065,0.6114,NA,NA,413.9,0.566
128.5,0.5358,NA,NA,NA,NA,5482000,0.7884,9869,0.5148,NA,NA,352.2,0.6056
103.9,0.5487,NA,NA,NA,NA,711700000,0.7757,4626,0.5159,NA,NA,484.5,0.5615
102.5,0.5175,NA,NA,NA,NA,176000,1.501,2465,0.517,NA,NA,448.9,0.5794
90.55,0.7801,NA,NA,NA,NA,10670000,0.8438,3920,0.5157,NA,NA,255.3,0.7995
124.1,0.546,NA,NA,NA,NA,17730,1.597,4362,0.507,NA,NA,501.3,0.6252
106.2,0.5394,NA,NA,NA,NA,133400,0.8856,643.5,1.379,NA,NA,384.6,0.5652
117.1,0.5063,NA,NA,NA,NA,7915000,1.282,2706,0.5281,NA,NA,268.1,0.6028
116.5,0.5021,NA,NA,NA,NA,197300000,0.7741,2881,0.7582,NA,NA,327,0.5516
134.6,0.5432,NA,NA,NA,NA,169800,1.307,92060,0.7956,NA,NA,279.2,0.5692
137.7,0.5251,NA,NA,NA,NA,7492000,1.62,17090,0.7297,NA,NA,576.1,0.5699
101,0.633,NA,NA,NA,NA,5623000,1.615,3319,0.5759,NA,NA,265.6,0.7603
69.7,0.5022,NA,NA,NA,NA,3.13E+09,1.413,4642,0.5997,NA,NA,409.9,0.8241
157.6,0.5437,NA,NA,NA,NA,4956000,1.333,2699,0.6259,NA,NA,342.9,0.7307
128.5,0.5318,NA,NA,NA,NA,4579000,0.9303,2276,0.6077,NA,NA,379.1,0.5976
126.3,0.5058,NA,NA,NA,NA,201900000,1.335,10090,0.5794,NA,NA,285.2,0.5764
91.85,0.5572,NA,NA,NA,NA,193900000,1.122,2064,0.6423,NA,NA,259,0.5386
92.33,0.5075,NA,NA,NA,NA,189700000,1.315,2264,0.6309,NA,NA,442.2,0.5349
100.7,0.5541,NA,NA,NA,NA,7.59E+09,0.582,3432,0.5863,NA,NA,643.3,0.5053
109.2,0.5305,NA,NA,NA,NA,3600,1.536,4888,0.5675,NA,NA,600.6,0.5113
157.8,0.6688,NA,NA,NA,NA,3628000,1.103,3539,0.8118,NA,NA,548.9,0.6199
91.38,0.7037,NA,NA,NA,NA,1.41E+09,1.029,718,1.855,NA,NA,304.5,0.6794
88.05,0.5613,NA,NA,NA,NA,77120,0.8189,295900,1.773,NA,NA,387.1,0.5846
172.9,0.6197,NA,NA,NA,NA,540900,1.654,13850,1.177,NA,NA,279.5,0.6198
177,0.5023,NA,NA,NA,NA,846500,1.241,77990000,1.003,NA,NA,263.3,0.5643
128.9,0.507,NA,NA,NA,NA,16130000,1.278,422400000,1.628,NA,NA,367.3,0.5318
154.7,0.5207,NA,NA,NA,NA,1.70E+09,0.8595,62600000,1.614,NA,NA,278.2,0.6328
203.1,0.5011,NA,NA,NA,NA,43130,1.184,1.34E+09,1.296,NA,NA,213.6,1.031
183.2,0.5549,NA,NA,NA,NA,3612,1.501,6.40E+09,1.421,NA,NA,331.3,0.6314
137.4,0.7789,NA,NA,NA,NA,20990,0.9292,239400000,1.544,NA,NA,296.7,0.786
110.5,0.5163,NA,NA,NA,NA,90560000,1.946,4.11E+09,1.772,NA,NA,362.5,0.9013
105,0.5074,NA,NA,NA,NA,263200,1.676,804300000,1.239,NA,NA,268.8,0.8838
116.5,0.5286,NA,NA,NA,NA,23200,1.319,35360000,0.8217,NA,NA,225.5,0.8022
102.4,0.5047,NA,NA,NA,NA,3746000,1.007,1.64E+09,0.6556,NA,NA,208.5,0.6826
112.8,0.5759,NA,NA,NA,NA,12980,1.111,1.17E+09,1.055,NA,NA,290.8,0.5635
85.28,0.5525,NA,NA,NA,NA,31370,1.563,1.36E+09,0.5742,NA,NA,287.2,0.5804
144.9,0.512,NA,NA,NA,NA,1842000,1.474,14130,0.5738,NA,NA,286.7,0.8019
142.9,0.5253,NA,NA,NA,NA,414500000,1.839,1671,0.5577,NA,NA,404.2,0.5385
136.9,0.6184,NA,NA,NA,NA,424900000,2,9009,0.5023,NA,NA,328.7,0.6189
158,0.5635,NA,NA,NA,NA,51410,1.26,14230,0.5132,NA,NA,291.7,0.5687
138.2,0.5691,NA,NA,NA,NA,7.02E+09,1.935,1957,0.735,NA,NA,337.8,0.6133
112.5,0.5619,NA,NA,NA,NA,7.02E+09,1.935,998.6,1.14,NA,NA,307.4,0.6057
115.5,0.5583,NA,NA,NA,NA,1.42E+09,1.776,1485,0.8414,NA,NA,290.9,0.5236
181.2,0.5219,NA,NA,NA,NA,1.96E+09,0.6716,3745,0.5356,NA,NA,285.7,0.5096
125.1,0.6025,NA,NA,NA,NA,4.34E+09,1.273,5305,0.5173,NA,NA,414.7,0.5235
147.9,0.5379,NA,NA,NA,NA,15390000,1.735,7878,0.5588,NA,NA,456.8,0.5094
143.3,0.5105,NA,NA,NA,NA,2.77E+09,0.8267,13990,0.5112,NA,NA,346.9,0.6442
133.8,0.5072,NA,NA,NA,NA,2698000,1.075,6148,0.5746,NA,NA,194.1,0.9582
93.34,0.8417,NA,NA,NA,NA,5.01E+09,1.125,5830,0.5365,NA,NA,251.8,0.6509
83.19,0.6115,NA,NA,NA,NA,14180,1.154,8645,0.5556,NA,NA,529.8,0.5194
110.5,0.5722,NA,NA,NA,NA,21490,1.425,5624,0.525,NA,NA,492.8,0.5195
244.8,0.5531,NA,NA,NA,NA,154300,0.8556,4207,0.528,NA,NA,337.6,0.5406
173.9,0.546,NA,NA,NA,NA,41340000,0.6137,3007,0.5584,NA,NA,173.3,0.9092
153.2,0.5457,NA,NA,NA,NA,661800000,0.7877,1253,0.6151,NA,NA,242.6,0.808
98.86,0.5012,NA,NA,NA,NA,1.31E+09,0.76,2053,0.6089,NA,NA,251.6,0.6259
108.5,0.5026,NA,NA,NA,NA,2626000,0.667,4069,0.5486,NA,NA,426,0.5444
111.7,0.5054,NA,NA,NA,NA,747100000,1.428,1668,0.7327,NA,NA,296.9,0.5685
169.8,0.5488,NA,NA,NA,NA,1.81E+09,1.974,4507,0.5975,NA,NA,255.2,0.6035
237.2,0.5109,NA,NA,NA,NA,780300,1.576,1588,0.7488,NA,NA,350.1,0.6021
79.41,0.5076,NA,NA,NA,NA,12460000,1.255,1924,0.6859,NA,NA,343.9,0.7991
124.2,0.5015,NA,NA,NA,NA,1.05E+09,1.556,2907,0.6689,NA,NA,246.3,0.7213
