Kmax,Ku,n,halfmax,Vhalf,slope
0.282,0.7811,1.998,46540,-113.6,6.059e-06
0.2516,0.6982,2,49460,-38.29,5.087e-06
0.2888,0.9988,1.605,8292,-73.32,3.483e-05
284.2,0.9413,0.5782,97830,-83.21,0.002905
0.2449,0.9598,2,34640,-67.82,7.07e-06
0.2523,0.9996,2,40760,-51.31,6.19e-06
0.2198,0.9644,1.658,7542,-36.51,2.914e-05
0.2355,0.9636,2,27040,-76.47,8.709e-06
0.27,0.9995,2,59270,-44.34,4.555e-06
0.2405,0.9152,1.342,1740,-41.59,0.0001382
0.2718,0.9024,1.135,965.4,-43.14,0.0002815
0.2668,0.9998,1.93,31510,-51.24,8.467e-06
0.2356,0.6773,2,114700,-35.09,2.054e-06
0.2339,0.9788,2,51300,-37.24,4.559e-06
0.2364,0.9989,2,32260,-29.92,7.328e-06
0.4424,0.8264,0.5915,64.48,-148.4,0.006861
0.2583,0.915,1.834,20690,-71.37,1.248e-05
0.2534,0.9997,1.173,1022,-38.06,0.0002479
0.2585,1,1.961,34910,-37.73,7.405e-06
0.2707,1,2,76780,-37.72,3.526e-06
0.2133,0.7543,2,26180,-51.45,8.147e-06
0.2527,0.4888,1.761,13550,-67,1.865e-05
0.2539,0.9999,2,55900,-56.24,4.542e-06
0.2691,0.9997,2,42660,-44,6.308e-06
0.2334,0.997,2,36670,-28.49,6.365e-06
0.2706,0.7422,1.968,19530,-99.5,1.386e-05
0.2313,0.9411,2,31490,-29.5,7.345e-06
4.801,0.7609,0.5569,1270,-183.3,0.00378
0.2199,0.9633,1.665,7797,-42.49,2.82e-05
0.2388,0.9994,2,35990,-37.97,6.635e-06
0.2677,0.8145,1.327,1177,-140.2,0.0002274
0.2124,1,2,26240,-37.69,8.095e-06
0.2345,1,2,36570,-42.11,6.412e-06
0.2461,0.9606,2,35220,-68.52,6.988e-06
0.2319,0.77,2,46050,-38.5,5.036e-06
0.2715,0.9985,1.606,8216,-62.04,3.305e-05
0.2322,0.9642,2,34960,-68.29,6.642e-06
0.2337,0.917,2,52190,-5.753,4.478e-06
0.248,0.9786,1.173,503.9,-38.43,0.0004922
0.2583,0.7881,0.9525,284.7,-49.77,0.0009073
59840000,1.063e-09,0.7718,5952000,-2.291,10.05
0.2431,0.7703,1.362,2617,-33.32,9.289e-05
0.2888,0.9997,2,79060,-41.86,3.653e-06
0.2306,1,1.616,11180,-27.03,2.063e-05
0.2815,1,2,44770,-44.65,6.288e-06
0.2514,0.7733,2,49170,-40.21,5.113e-06
0.2085,0.8664,2,18660,-84.66,1.117e-05
0.7573,0.8089,0.5236,107,-89.33,0.007078
0.2258,0.967,1.457,2668,-37.85,8.463e-05
0.1906,0.7206,2,47330,-1.039,4.027e-06
0.4479,0.8319,0.5,36.72,-136.7,0.0122
0.2671,0.962,1.381,1757,-70.27,0.000152
0.1956,0.7364,1.569,3793,-1.873,5.157e-05
0.2689,1,2,70830,-35.99,3.796e-06
0.2699,0.9967,2,60530,-37.88,4.459e-06
0.1981,0.9991,2,22180,-44.52,8.931e-06
0.3218,0.982,0.7693,152.7,-37.96,0.002107
0.2585,0.802,2,26410,-155.1,9.788e-06
0.258,0.9999,2,30460,-37.97,8.47e-06
0.2723,0.999,2,83480,-37.63,3.262e-06
0.2082,0.9679,2,43200,-35.03,4.819e-06
0.2175,0.4867,2,30370,-65.45,7.162e-06
0.2337,0.976,2,25630,-47.6,9.118e-06
0.2715,0.9999,2,76640,-47.67,3.543e-06
0.2558,0.9999,1.741,16320,-51.53,1.567e-05
0.2211,0.9544,2,51120,-39.24,4.325e-06
0.2282,0.985,1.923,16310,-30.91,1.399e-05
0.2081,0.9474,2,54930,-1.002,3.788e-06
0.2502,0.9998,1.699,8582,-37.87,2.915e-05
0.232,0.9526,2,45910,-37.17,5.053e-06
0.2013,0.7484,2,49000,-6.667,4.108e-06
0.272,0.9943,1.969,42650,-38.13,6.377e-06
0.2314,0.9529,1.96,36500,-27.66,6.34e-06
0.1868,0.4992,2,14850,-67.74,1.258e-05
0.2299,0.9999,1.869,32960,-26.64,6.975e-06
0.2615,0.922,1.35,2462,-71.2,0.0001062
0.2898,0.9993,2,33640,-71.6,8.615e-06
0.7222,0.7014,0.5709,190,-40.66,0.003801
0.2395,0.9998,1.947,37450,-42.2,6.395e-06
0.3026,0.9872,1.997,32780,-77.85,9.231e-06
0.2409,0.9984,1.851,22250,-42.2,1.083e-05
0.2283,0.9727,2,50350,-37.51,4.534e-06
0.3802,0.8426,0.7924,172.7,-158.1,0.002202
0.2405,0.9122,1.54,3684,-55.03,6.528e-05
0.257,0.9263,2,37550,-32.04,6.844e-06
0.5708,0.8107,0.6509,183.2,-158.9,0.003116
0.2025,0.7359,2,53590,-1.643,3.779e-06
0.1943,0.7383,2,40620,-38,4.783e-06
0.2375,0.9816,2,79060,-37.54,3.004e-06
45490000,1.111e-09,0.7224,3240000,-3.893,14.04
0.2337,0.9996,2,35560,-42.29,6.572e-06
0.7884,0.6275,0.7069,638.4,-46.21,0.001235
0.2015,0.8763,2,12260,-153.3,1.644e-05
0.2138,0.4429,2,45600,-44.21,4.689e-06
0.2283,0.9727,2,50350,-37.51,4.534e-06
0.2579,0.7991,2,52760,-39.66,4.888e-06
0.2337,0.9996,2,35560,-42.29,6.572e-06
0.2956,0.9863,2,43110,-74.48,6.857e-06
0.2265,0.9147,2,39830,-87.76,5.687e-06
0.2487,0.9999,2,48850,-43.63,5.091e-06
0.2291,0.9741,1.627,5281,-36.69,4.338e-05
0.2257,0.9195,2,33220,-5.373,6.794e-06
0.2601,0.9998,2,34740,-37.96,7.487e-06
0.2652,0.9996,2,89490,-46.9,2.963e-06
0.2628,0.8175,2,51330,-152.1,5.12e-06
0.2459,0.9946,1.287,1879,-38.19,0.0001309
0.2139,0.7842,1.991,20790,-38.26,1.029e-05
0.2577,0.7726,1.313,2291,-33.2,0.0001125
0.4002,0.8458,0.8057,247.8,-183.6,0.001615
0.1942,0.7636,2,40680,-40.19,4.774e-06
0.2411,0.8008,2,57060,-43.91,4.225e-06
0.2122,0.958,1.423,2332,-1.001,9.099e-05
0.2094,0.9692,1.998,20630,-35.19,1.015e-05
0.2297,0.9734,2,75440,-25.44,3.045e-06
0.2611,1,2,36790,-38,7.097e-06
0.2317,0.5071,1.453,2615,-62.77,8.86e-05
0.2255,0.7898,2,52270,-39.52,4.314e-06
0.222,0.7821,1.982,45610,-19.06,4.867e-06
0.3214,0.7761,0.8282,260.4,-49.49,0.001234
0.2742,0.9984,1.912,18740,-73.57,1.463e-05
0.2658,0.9992,2,80810,-36.63,3.289e-06
0.2577,0.9704,2,52790,-31.55,4.882e-06
0.2391,0.9072,2,32090,-55.04,7.451e-06
0.2979,0.7843,1.27,1642,-152.9,0.0001814
0.1981,0.9991,2,22180,-44.52,8.931e-06
0.3248,0.8561,0.8867,303.8,-82.31,0.001069
0.2583,0.915,1.834,20690,-71.37,1.248e-05
0.2217,0.8499,2,15570,-157.4,1.424e-05
7603,1.003e-09,0.9603,1258,-11.38,6.044
0.2821,0.9862,0.8986,247.3,-29.51,0.001141
0.2248,0.9582,2,41790,-31.82,5.379e-06
0.1897,0.7545,1.995,34080,-7.801,5.566e-06
0.2549,0.8186,2,30910,-140.6,8.247e-06
0.2473,0.9999,2,32820,-37.32,7.535e-06
0.2629,0.8219,1.798,15000,-147.5,1.753e-05
0.2675,0.9995,2,51860,-44.39,5.158e-06
0.2625,0.4722,1.46,3101,-75.22,8.465e-05
0.3,0.8577,0.9308,306.4,-163.1,0.0009791
0.2639,0.9477,2,47800,-68.16,5.521e-06
0.1946,0.7247,1.507,4385,-4.639,4.438e-05
0.212,0.7771,2,26350,-3.452,8.046e-06
0.2587,0.9922,1.767,12590,-64.93,2.055e-05
0.2342,0.6618,2,52650,-34.77,4.448e-06
0.29,0.9341,1.546,8278,-88.81,3.503e-05
0.1836,0.8343,1.826,27630,-1.001,6.645e-06
0.2486,0.9997,2,48940,-44.5,5.08e-06
0.2224,0.9548,2,23120,-31.4,9.619e-06
0.2319,0.9999,2,28730,-69.99,8.072e-06
10170,1.041e-09,0.7731,565.8,-1.283,17.97
0.2399,0.9035,2,38540,-39.54,6.225e-06
0.2092,0.7584,1.573,4724,-7.74,4.428e-05
0.2443,0.9706,2,85030,-31.92,2.873e-06
0.2593,0.7808,0.7953,112.3,-28.01,0.002309
0.2437,0.9388,2,55640,-25.81,4.38e-06
0.2687,0.9969,2,42460,-38.76,6.328e-06
0.376,0.791,1.095,1695,-88.65,0.0002218
0.2959,0.9913,2,36080,-79.42,8.201e-06
0.2385,0.9352,2,42930,-135.1,5.556e-06
0.2432,0.9217,2,24720,-164.1,9.838e-06
0.1971,0.7378,2,51700,-1.24,3.812e-06
19350000,1.046e-09,0.6676,824300,-2.531,23.47
0.2232,0.9967,2,27830,-52.52,8.02e-06
0.2692,0.8253,1.619,6290,-138.1,4.28e-05
9764,1.007e-09,0.7791,521.9,-1.853,18.71
0.2513,0.9619,1.829,29350,-67.59,8.562e-06
0.2369,0.9145,1.423,2628,-41.2,9.014e-05
0.2652,0.9996,1.607,8273,-42.28,3.206e-05
0.2507,0.9988,2,34730,-55.59,7.219e-06
0.2524,0.901,2,135300,-41.68,1.865e-06
75370000,1.002e-09,0.891,17620000,-6.836,4.278
0.193,0.7343,2,73520,-1.009,2.625e-06
0.2399,0.9989,1.772,21310,-32.49,1.126e-05
0.2795,0.9993,2,62540,-56.25,4.469e-06
0.2511,0.9631,1.088,427,-31.7,0.0005881
74860000,1.009e-09,0.9242,22800000,-1.616,3.283
0.2382,0.9533,1.448,3154,-30.57,7.552e-05
0.2178,0.9277,2,27890,-42.37,7.809e-06
