Kmax,Ku,n,halfmax,Vhalf,slope
11.3,0.9393,1.787,375200,-77.81,3.012e-05
11.26,0.9459,1.569,98530,-76.12,0.0001143
12.42,0.9415,1.666,193600,-77.91,6.415e-05
12.23,0.9386,1.626,157600,-75.72,7.76e-05
11.59,0.9483,1.658,177900,-76.42,6.515e-05
10.93,0.9486,1.697,209200,-77.8,5.225e-05
11.87,0.9452,1.688,213100,-79.6,5.57e-05
11.55,0.9448,1.739,287400,-79.04,4.019e-05
13.65,0.9446,1.65,198900,-84.06,6.863e-05
11.22,0.9487,1.623,133300,-77.81,8.417e-05
10.89,0.9391,1.518,70890,-71.05,0.0001536
11.01,0.9391,1.625,138300,-76.34,7.961e-05
13.72,0.9461,1.623,166900,-81.1,8.22e-05
11.19,0.9483,1.628,137100,-78.25,8.162e-05
10.04,0.9709,1.622,117700,-73.93,8.53e-05
13.26,0.9452,1.555,105100,-80.28,0.0001262
10.26,0.9454,1.544,75670,-72.67,0.0001356
11.61,0.9452,1.634,149300,-76.03,7.776e-05
11.81,0.9492,1.622,142500,-77.56,8.288e-05
13.81,0.9479,1.611,156900,-80.18,8.802e-05
11.63,0.9451,1.631,146200,-75.99,7.955e-05
12.47,0.9415,1.663,191000,-77.91,6.529e-05
11.46,0.2254,1.558,96070,-76.84,0.0001193
11.34,0.9671,1.631,143900,-79.26,7.88e-05
13.06,1,1.577,120700,-79.42,0.0001082
11.29,0.9456,1.57,99450,-76.29,0.0001135
11.48,0.2169,1.559,95600,-77.67,0.0001201
11.29,0.9456,1.57,99450,-76.29,0.0001135
11.99,0.9493,1.619,142000,-78.2,8.444e-05
11.8,0.496,1.626,148800,-78.34,7.93e-05
11.13,0.941,1.599,118100,-76.54,9.424e-05
11.05,0.9484,1.665,171900,-78.23,6.428e-05
11.9,0.4007,1.652,175400,-80.84,6.784e-05
11.84,0.9443,1.69,215500,-79.29,5.494e-05
11,0.9226,1.572,100700,-72.97,0.0001092
12.34,0.9368,1.739,303300,-78.44,4.069e-05
11.53,0.9393,1.736,275700,-77.94,4.182e-05
11.67,0.9501,1.665,185600,-78.52,6.288e-05
11.44,0.9406,1.733,270000,-77.38,4.237e-05
12.93,0.241,1.578,123400,-78.8,0.0001048
12.02,0.9417,1.731,290400,-76.33,4.139e-05
11.36,0.9436,1.637,150100,-74.04,7.568e-05
11.83,0.9472,1.623,142600,-76.81,8.296e-05
12.75,0.9454,1.623,155800,-79.12,8.184e-05
11.42,0.9386,1.638,148400,-74.84,7.695e-05
12.18,0.8369,1.574,111500,-77.75,0.0001092
11.07,0.9658,1.691,205600,-80.54,5.384e-05
10.44,0.9474,1.601,109600,-75.42,9.526e-05
11.89,0.4039,1.647,172000,-79.41,6.913e-05
12.33,0.8104,1.739,311100,-83.94,3.963e-05
12.09,0.9445,1.706,249700,-77.46,4.842e-05
12.78,0.9439,1.654,185700,-80.97,6.882e-05
11.09,0.9492,1.656,162700,-78.09,6.816e-05
13.28,0.9464,1.694,256200,-80.97,5.183e-05
11.85,0.9492,1.621,143400,-77.26,8.264e-05
11.46,0.9437,1.637,153800,-75.25,7.451e-05
11.81,0.9453,1.595,117800,-75.92,0.0001003
12.05,0.9733,1.606,134500,-78.82,8.959e-05
10.78,0.943,1.676,176800,-75.7,6.097e-05
10.93,0.9347,1.66,166800,-75.83,6.553e-05
12.43,0.9375,1.696,239700,-78.96,5.186e-05
12.07,0.4672,1.604,133200,-78.82,9.062e-05
11.14,0.9189,1.544,85050,-73.12,0.000131
11.83,0.9472,1.618,138400,-77.13,8.548e-05
12.11,0.7453,1.701,240700,-78.23,5.031e-05
11.86,0.9498,1.654,175100,-80.12,6.773e-05
10.05,0.9673,1.652,140800,-73.64,7.138e-05
12.14,0.9472,1.582,112500,-77.09,0.0001079
11.77,0.2304,1.501,71470,-76.08,0.0001647
11.87,0.9481,1.626,146500,-78.79,8.102e-05
10.55,0.9309,1.571,92130,-74.94,0.0001145
11.95,0.9478,1.584,114300,-76.17,0.0001045
12.13,0.9379,1.742,310600,-77.94,3.905e-05
12,0.9673,1.648,172200,-81.54,6.969e-05
10.11,0.877,1.589,98180,-76.5,0.000103
12.46,0.2307,1.698,246400,-80.62,5.057e-05
10.93,0.9443,1.665,167900,-76.42,6.51e-05
12.39,0.9433,1.567,107900,-73.21,0.0001148
11.67,0.9429,1.744,298100,-80.34,3.915e-05
12.57,0.9478,1.592,127100,-76.86,9.89e-05
9.169,0.94,1.637,116700,-70.38,7.857e-05
11.73,0.925,1.707,239600,-73.22,4.896e-05
11.4,0.4893,1.582,111200,-77.5,0.0001025
13.09,0.2288,1.631,170400,-76.88,7.682e-05
13.3,1,1.538,99120,-77.92,0.0001342
11.89,0.9374,1.529,84550,-73.51,0.0001406
11.95,0.8792,1.529,84690,-73.85,0.0001411
12.05,0.9733,1.606,134500,-78.82,8.959e-05
13.33,0.1856,1.662,210700,-81.81,6.327e-05
10.68,0.9389,1.587,104500,-71.87,0.0001022
11.26,0.9488,1.561,94640,-75.3,0.000119
12.56,0.9468,1.613,149000,-76.8,8.43e-05
11.58,0.8516,1.774,358800,-83.3,3.227e-05
11.74,0.971,1.68,208900,-80.14,5.62e-05
13.54,0.9473,1.678,239600,-83.1,5.651e-05
12.14,0.8441,1.58,113400,-79.28,0.0001071
12.09,0.942,1.709,253000,-78.11,4.779e-05
12.4,0.9394,1.69,230100,-79.25,5.389e-05
12.09,0.9387,1.58,111300,-73.11,0.0001086
12.65,0.2575,1.618,156100,-78.36,8.104e-05
12.99,0.9333,1.698,250600,-77.15,5.184e-05
10.91,0.9386,1.728,243400,-77.37,4.482e-05
11.5,0.9493,1.694,221600,-77.56,5.19e-05
10.84,0.7804,1.828,467900,-82.1,2.317e-05
10.01,0.6131,1.623,120700,-77.18,8.293e-05
13.06,0.9999,1.574,120800,-77.21,0.0001081
12.03,0.9472,1.591,118400,-77.08,0.0001016
