Kmax,Ku,n,halfmax,Vhalf,slope
1.153,0.0008906,1.265,1239,-162.9,0.0009306
1.713,0.0005286,0.884,290.1,-172.9,0.005905
62970,0.0001957,0.629,3981000,-169.3,0.01582
1.042,0.0005336,0.8464,111.9,-173.6,0.009312
4.831,0.0005132,0.7159,429,-175,0.01126
2.643,0.0006134,0.796,325,-163.3,0.008132
3.099,0.0005153,0.7225,260.6,-176.5,0.01189
1.044,0.0004248,1.077,289,-190.6,0.003612
0.8765,2.239e-05,1.972,2467,-154.8,0.0003553
1.096,0.0005339,1.332,1099,-175,0.0009973
7129,0.0002452,0.6552,532200,-172.1,0.0134
367300,0.0005308,0.8651,83690000,-172.8,0.004389
516500,0.000538,0.6905,47430000,-188.6,0.01089
4.186,0.0008026,0.7924,566.7,-169,0.007387
1.633,0.0002956,0.8555,236.6,-180.3,0.006902
3.792,0.0006273,0.7145,319.2,-176,0.01188
0.5796,2.652e-05,2,162.2,-174,0.003573
3.338,0.0005888,0.6873,231.6,-176.2,0.01441
0.9888,0.0005725,1.133,382.3,-84.46,0.002586
2177000,0.0007296,0.7449,247700000,-179.1,0.008789
1.008,0.0006764,1.117,335.6,-167.4,0.003004
0.9008,0.0002776,1.085,212.9,-157.9,0.004231
17930,0.0002627,0.703,1784000,-169.5,0.01005
0.6931,0.000447,1.298,228.3,-187.6,0.003036
1.03,0.0005444,1.069,271.9,-182.2,0.003788
49520,0.0005356,0.6615,3828000,-181.5,0.01294
78820,0.0007455,0.8661,20340000,-168.1,0.003875
63740,0.0007215,0.7643,9042000,-168,0.007049
0.7108,2.699e-05,2,361.7,-162.2,0.001965
3185,0.0001889,1.02,1407000,-141.3,0.002264
1.088,0.0002674,1.133,522.2,-148.2,0.002083
1.893,0.0006235,0.8687,308.9,-159.3,0.006128
0.9466,0.0004947,1.146,333.4,-170.8,0.002839
0.7186,0.000301,1.554,742.5,-172.5,0.0009678
0.9706,0.0005624,1.125,469.9,-176,0.002066
1.09,0.0005605,0.8781,148.8,-185.9,0.007325
48.51,0.0005561,0.746,5280,-185.3,0.009188
0.7108,0.0004981,1.576,1606,-176.4,0.0004426
1.28,0.0005281,1.067,368.3,-175.5,0.003475
124800,0.0006341,0.7298,14320000,-195.4,0.008715
3.25,9.501e-05,0.7001,203.6,-160.3,0.01596
1.558,3.776e-05,0.5,17.7,-159.5,0.08802
0.6866,3.212e-05,2,354.8,-149.8,0.001935
0.7226,0.0003406,1.464,526.8,-160.5,0.001372
0.7695,3.555e-05,2,4547,-155.2,0.0001692
157200,0.0006998,0.7781,21680000,-177.8,0.007251
3.374,8.732e-05,0.7261,248.8,-168.6,0.01356
4.968,0.0006934,0.6289,263.2,-160.1,0.01888
1.646,0.0002955,0.7687,144.7,-174.1,0.01138
231400,0.0006771,0.801,40590000,-187.3,0.005701
1.533,0.0005535,1.213,1340,-194.2,0.001144
4.077,0.001023,0.7248,374.3,-160.1,0.01089
100400,0.0005585,0.7077,10210000,-178.5,0.009833
1.05,0.0006186,1.02,214.5,-171.5,0.004895
1.019,2.369e-05,1.7,1370,-144.7,0.0007438
1.074,1.232e-05,1.999,3492,-158.6,0.0003076
90220,7.387e-05,0.7489,9973000,-176.5,0.009046
1.891,0.0005694,1.077,882.6,-180.7,0.002143
5.139,0.0008043,0.6682,347.6,-182.5,0.01478
0.9287,0.0004976,1.146,479.7,-180.4,0.001936
3.417,0.0005884,0.6856,236.2,-178.1,0.01447
4561,0.0006587,0.6638,399600,-187.3,0.01141
0.9565,0.0004944,1.361,693,-182.4,0.00138
0.9696,0.0002386,1.318,1065,-152.6,0.0009104
1.41,0.0005214,0.9971,304.9,-169,0.004624
0.9821,0.0005741,1.14,390.9,-84.23,0.002512
1.795,0.0005762,0.8192,170.3,-181.7,0.01054
6246,0.0006645,0.7506,707700,-179.1,0.008826
1.612,0.0005056,0.8824,204.1,-168.1,0.007898
7.822,0.0004982,0.6543,511.8,-174.6,0.01528
458900,0.0004137,0.5639,18860000,-195.2,0.02433
2.611,0.0005217,0.7464,240.1,-172,0.01087
0.7611,0.0003264,1.604,1930,-155.7,0.0003944
0.8877,0.0005008,1.753,4026,-171.9,0.0002205
0.7341,3.082e-05,2,1990,-140.7,0.0003689
1.229,0.0006052,1.193,930.3,-186.9,0.001321
5.374,0.0007527,0.666,359.8,-180,0.01494
0.6213,2.636e-05,2,186.7,-151.4,0.003328
412000,0.0006753,0.7476,52900000,-180.7,0.007788
0.8554,0.0006941,1.583,2567,-161.5,0.0003332
0.6866,0.0004705,1.655,2118,-180.7,0.0003242
1.006,1.396e-05,2,3289,-142.3,0.0003059
3.689,0.0005831,0.6769,246.3,-187.2,0.01498
400200,0.0006088,0.7832,57090000,-178.6,0.00701
30.84,0.0005319,0.6476,1858,-185.2,0.0166
50970,0.0007196,0.8568,12440000,-175.5,0.004097
1.064,9.539e-05,1.557,3572,-183.4,0.0002979
1.001,0.0005267,0.9878,157.6,-172.2,0.006352
0.9122,2.616e-05,2,6263,-135.1,0.0001456
1.307,0.0001016,0.848,103.4,-155.3,0.01264
1.076,0.0005607,0.9735,179.2,-174.4,0.006004
75.2,0.000563,0.6305,4611,-166.3,0.01631
2.357,0.0005431,0.705,133.8,-171.3,0.01762
2.611,0.0005217,0.7464,240.1,-172,0.01087
60670,0.0007007,0.7908,9999000,-177.4,0.006068
127300,0.0005957,0.8338,24340000,-174.8,0.00523
2.458,0.0006891,1.012,898.9,-194.4,0.002734
342100,0.0005996,0.9239,111300000,-183.5,0.003074
4.126,0.0006735,0.6439,230.8,-170,0.01788
0.8023,0.0004368,1.019,129.8,-163.4,0.006181
4.664,0.000695,0.9052,1105,-178.9,0.004221
1.693,0.0005147,0.9027,251.5,-171.5,0.006732
693000,0.0007409,0.8546,167300000,-200,0.004142
0.9524,0.0006552,1.249,591.8,-176.1,0.001609
1.001,0.0006813,1.125,344.9,-170,0.002902
0.8636,0.0004907,1.438,1215,-177.2,0.0007108
11680,0.0007199,0.8682,3047000,-189.5,0.003833
2899,0.0001785,0.8832,572700,-179.3,0.005062
1.08,0.0005492,1.038,364.8,-172.7,0.002961
89850,0.0004867,0.7046,7749000,-171.8,0.0116
119600,0.0005627,0.6417,9130000,-182.7,0.0131
282700,0.0005442,0.8773,69260000,-171.7,0.004082
2.399,0.0007697,0.7919,277.3,-174.1,0.008651
0.7809,0.000467,1.613,1532,-185.7,0.0005097
1.713,0.0002978,0.84,234,-150.1,0.007321
1.277,0.0005124,0.7993,127,-180.2,0.01006
1.534,0.0003195,0.7386,109.3,-154.7,0.01403
389100,0.0006706,0.7379,41030000,-180.7,0.009483
1.662,0.0005138,0.83,159.9,-179.4,0.01039
0.923,0.0005404,1.274,613,-183.1,0.001506
1.03,0.0003035,1.009,251.6,-165.9,0.004094
2.392,0.0008202,0.8506,416.6,-83.13,0.005742
0.7318,0.0004689,1.226,273.6,-177.6,0.002675
1.375,0.0003411,0.7193,81.81,-177.8,0.01681
1.234,0.0002711,1.038,399.2,-158,0.003091
1.565,0.0002604,0.7809,139.9,-136.5,0.01119
0.8151,0.0003467,1.305,534.6,-161.8,0.001525
155000,0.0006735,0.7982,26750000,-181.8,0.005794
1.893,0.0004818,0.6867,123.9,-172.4,0.01528
5.19,0.0005502,0.8468,887.7,-167.8,0.005847
2.955,0.0009825,0.7952,384.3,-93.85,0.007689
678.7,0.0005725,0.5935,33800,-177.5,0.02008
1265,0.0005434,0.7667,157700,-187.2,0.008022
0.6144,2.115e-05,2,42.19,-155.2,0.01456
1.035,9.611e-05,1.013,135.7,-162.3,0.007627
0.9951,0.0004833,1.085,272.4,-171,0.003653
1.237,0.0004961,0.8127,128.7,-155.7,0.009611
655200,0.0006704,0.6558,49200000,-163.1,0.01332
93070,0.0005566,0.687,7297000,-167.4,0.01275
229800,0.0005945,0.8458,47080000,-178.2,0.004881
0.6902,1.919e-05,2,177.9,-138.1,0.00388
1.269,0.0006338,1.132,705.9,-196.7,0.001798
2.1,0.0006341,0.804,248.1,-187.1,0.008464
2.546,0.0005138,0.7889,297.1,-169.3,0.00857
9430,0.0005427,0.6648,646000,-188.6,0.0146
7105,0.0006567,0.5681,303300,-182.9,0.02343
1.001,3.113e-05,1.999,6532,-138.6,0.0001532
1.001,0.0006813,1.125,344.9,-170,0.002902
4.386,0.0007134,0.6381,240.7,-157.5,0.01822
308400,0.0005825,0.8153,52970000,-184.2,0.005822
1.074,1.232e-05,1.999,3492,-158.6,0.0003076
1.03,9.483e-05,1.296,652.2,-180.3,0.001579
0.8598,0.000325,1.149,271,-169.3,0.003173
1929000,0.000576,0.7172,186900000,-176.1,0.01032
2.164,0.0006408,0.7962,247.8,-176,0.008733
1.48,0.0005242,0.9825,400.1,-181.4,0.003699
1.057,2.588e-05,2,7088,-160.7,0.0001491
21760,0.000657,0.6711,1546000,-189.3,0.01408
196200,0.0005625,0.7016,16740000,-170.8,0.01172
0.9266,0.0004821,1.149,482.4,-161.9,0.001921
429900,0.0007535,0.8818,109100000,-177.1,0.00394
1.271,0.0002946,0.9662,285.1,-161.3,0.004458
196200,0.0005625,0.7016,16740000,-170.8,0.01172
22560,0.000571,0.5992,1345000,-178.2,0.01677
743600,0.0006187,0.7808,115400000,-174.6,0.006444
13120,0.0002195,0.6295,832500,-170.6,0.01576
177400,0.0002155,0.6832,15500000,-160.7,0.01145
3.738,0.0001887,1.088,1798,-154.6,0.002079
0.7434,0.0004854,1.349,582.7,-178.2,0.001276
1.112,0.0004364,0.7917,93.24,-172.2,0.01193
1.573,0.0006913,1.214,1412,-166.7,0.001114
1.068,2.513e-05,1.819,3044,-164.2,0.0003509
1.288,0.0001589,0.9156,200.5,-149.7,0.006424
54870,0.0001966,0.6497,3902000,-159.2,0.01406
0.9696,0.0005318,0.8963,125.8,-194.1,0.007707
411600,0.0005535,0.7681,59410000,-185,0.006928
0.6791,2.247e-05,2,208.3,-158.6,0.00326
1431000,0.0007112,0.8809,359900000,-172.9,0.003976
36820,0.0006352,0.7079,3237000,-189.8,0.01137
0.9357,0.0002438,0.9828,131,-161.3,0.007143
7.938,0.0005059,0.8094,1144,-174.8,0.006939
1.003,1.404e-05,2,3256,-147.7,0.000308
0.807,0.0004203,1.561,1245,-159.8,0.0006482
63480,0.0007611,0.8794,17720000,-184.2,0.003582
317700,0.0005307,0.6637,24850000,-164.5,0.01278
515.1,0.0001892,0.8435,79070,-178.7,0.006514
0.9143,0.0005549,1.677,3061,-170.3,0.0002987
1.92,0.0005154,0.7636,171.6,-186.9,0.01119
0.729,0.0004873,1.404,715.2,-182.9,0.001019
3.561,0.0005651,0.924,887,-187.8,0.004015
4.487,0.0001886,1.055,1874,-169.9,0.002394
1.155,0.0004741,0.8784,168.2,-165.2,0.006867
1.041,0.0004836,1.081,202.3,-180.8,0.005146
0.8713,0.0004847,1.223,619.2,-180.6,0.001407
0.9466,0.0004947,1.146,333.4,-170.8,0.002839
1.266,0.0005338,1.135,512.1,-170.8,0.002472
2.546,0.0005138,0.7889,297.1,-169.3,0.00857
0.9303,0.0004313,1.229,481.5,-190.1,0.001932
