Kmax,Ku,n,halfmax,Vhalf,slope
1.311,2.974e-05,1.664,4595,-143.4,0.0002853
1.678,2.242e-05,1.409,1247,-80.64,0.001346
1.658,1.514e-05,1.466,517.4,-110.8,0.003204
1.667,1.478e-05,2,6730,-99.76,0.0002477
4637,9.973e-06,1.175,2793000,-187.2,0.00166
3.087,0.0001515,1.002,967.4,-1,0.003191
1.062,0.005174,1.926,22220,-1,4.779e-05
1.719,1.422e-05,2,9405,-129.1,0.0001828
4.57,2.321e-05,0.7687,233.9,-86.46,0.01954
4.9,3.033e-05,0.5728,111.5,-171.8,0.04395
1.431,2.04e-05,2,6458,-137.6,0.0002216
1.783,5.995e-05,1.124,811.1,-52.12,0.002198
1.191,3.378e-05,1.61,1766,-162,0.0006744
1.293,2.296e-05,2,3158,-149.6,0.0004094
3.992,1.403e-05,1.065,773.2,-163.9,0.005163
2.406,1.712e-05,0.8792,169,-152.4,0.01424
1.981,2.286e-05,1.269,870.2,-87.56,0.002276
3.537,0.0001098,0.8598,456.6,-1,0.007746
1.948,0.000134,1.028,547.1,-1,0.003561
1.485,2.023e-05,2,8527,-123.7,0.0001742
1.189,6.611e-05,2,18670,-73.57,6.369e-05
1.324,2.252e-05,2,4337,-143.5,0.0003053
2.434,3.217e-05,0.8604,224.9,-149.7,0.01082
2.311,6.317e-05,0.7447,117.3,-70.56,0.0197
2.098,6.981e-05,0.8141,173.3,-49.47,0.01211
9573,5.258e-05,0.9695,3225000,-1,0.002968
2.291,1.132e-05,2,14430,-99.77,0.0001588
1.591,1.986e-05,1.38,935.6,-150.3,0.001701
1.021,5.101e-05,2,11110,-1.003,9.19e-05
9008,0.0001427,1.008,4191000,-1.001,0.002149
3.986,2.351e-05,0.8508,293.8,-141.8,0.01357
1.162,3.356e-05,2,11990,-159.1,9.691e-05
1.493,6.084e-05,1.214,703.5,-71.06,0.002122
2.057,9.405e-06,2,8861,-161.8,0.0002321
1.438,1.524e-05,2,1865,-156.1,0.000771
1.492,4.419e-05,0.8914,135.6,-8.506,0.011
143300,0.003238,1.017,73600000,-1,0.001947
1.337,2.967e-05,1.152,237.3,-169.2,0.005634
1.952,2.237e-05,1.309,964.6,-94.87,0.002024
6950,1.811e-05,0.8005,566600,-163.8,0.01227
9.705,1.937e-05,0.8189,785.6,-90.87,0.01235
1.317,2.145e-05,2,5972,-129.8,0.0002205
1.844,1.99e-05,2,41160,-132,4.48e-05
1.421,2.085e-05,2,4386,-145.8,0.000324
0.9903,5.103e-05,2,9090,-1.015,0.0001089
1.419,2.188e-05,1.956,14370,-153.1,9.875e-05
1.526,6.824e-05,0.9595,210.4,-58.32,0.007253
1.442,3.037e-05,1.119,442.7,-1,0.003257
1.247,7.145e-05,1.811,14270,-1,8.739e-05
3.757,1.583e-05,0.9218,452.4,-156.3,0.008305
2.412,2.06e-05,0.8243,124.6,-184,0.01936
1.011,6.074e-05,1.632,1923,-1,0.0005257
1.999,6.029e-05,0.899,214.5,-72.14,0.009319
5551,1.877e-05,0.6878,266700,-159.5,0.02081
4708,1.822e-05,0.7832,347400,-163.3,0.01355
1.565,1.535e-05,1.946,2816,-151.8,0.0005558
1.761,6.012e-05,1.216,1157,-1,0.001522
2.687,0.0001547,0.9703,659.1,-1,0.004077
520400,0.003237,0.9628,193200000,-1,0.002694
1.453,1.92e-05,2,17970,-148.4,8.086e-05
2.222,1.167e-05,1.895,7697,-93.91,0.0002887
1.162,3.355e-05,2,11980,-155.9,9.699e-05
1.679,2.303e-05,2,26000,-128.2,6.458e-05
16.76,6.194e-05,0.7639,1562,-1,0.01073
1.572,1.825e-05,2,32440,-158.9,4.846e-05
1.043,6.367e-05,2,17310,-62.68,6.025e-05
1.23,7.148e-05,1.847,16590,-1,7.414e-05
1.145,2.119e-05,2,1453,-168.2,0.000788
1.046,0.005384,1.905,17880,-1,5.85e-05
11.17,2.335e-05,0.7134,489.7,-138.1,0.02281
3.227,0.0001717,1.045,1334,-1,0.002419
1986,2.019e-05,0.7912,156800,-172.7,0.01267
1.597,1.506e-05,1.681,1169,-132.7,0.001366
2.729,0.004595,0.922,536.1,-1,0.00509
1.162,3.355e-05,2,11980,-155.9,9.699e-05
1.267,6.341e-05,0.9478,125.4,-43.29,0.0101
1.607,1.617e-05,2,31270,-148.4,5.139e-05
1.177,3.753e-05,0.9877,64.03,-151.4,0.01838
1.247,7.145e-05,1.811,14270,-1,8.739e-05
1.055,6.294e-05,1.967,14590,-64.46,7.231e-05
2.5,1.665e-05,1.07,545.8,-146,0.00458
4827000,0.003646,0.6667,308100000,-1,0.01567
1.448,1.965e-05,2,17970,-148.3,8.058e-05
1.227,8.406e-05,2,41060,-1.001,2.988e-05
1.885,2.96e-05,1,149.1,-168.8,0.01264
1.893,1.088e-05,2,3875,-103.4,0.0004885
1.908,2.705e-05,1.041,383.2,-161.7,0.004979
1.09,0.0001345,1.868,14670,-1,7.43e-05
3.003,1.249e-05,1.185,832.2,-111.7,0.003609
1.184,5.935e-05,2,30680,-1.002,3.859e-05
2.179,8.97e-06,2,11250,-126.7,0.0001937
3602,1.983e-05,0.8578,421100,-178.1,0.008554
1.149,5.902e-05,1.97,17000,-72.42,6.759e-05
2.647,2.826e-05,1.192,1576,-1,0.00168
64290,6.113e-05,0.6056,2733000,-43.49,0.02352
2.445,1.068e-05,2,16300,-122.9,0.00015
6.323,0.000155,0.8332,881.6,-1.001,0.007172
1.726,2.342e-05,1.761,7975,-124,0.0002164
1.637,2.114e-05,1.97,17130,-113.6,9.556e-05
1.137,2.117e-05,2,9694,-1.009,0.0001173
4.19,1.675e-05,0.8818,427.8,-150,0.009794
1.415,1.932e-05,2,14950,-147,9.465e-05
290.2,1.395e-05,1.031,71040,-181.1,0.004085
1.751,1.425e-05,2,8642,-129.4,0.0002026
64290,6.113e-05,0.6056,2733000,-43.49,0.02352
118000,5.648e-05,0.7159,8914000,-68.23,0.01324
1.06,5.476e-05,1.305,372.1,-1.003,0.002849
1238000,1.295e-05,0.633,32460000,-132.3,0.03814
1.629,1.479e-05,2,7489,-92.52,0.0002175
1.168,3.329e-05,1.649,2012,-1.001,0.0005805
1262000,1.173e-05,0.8109,91270000,-104.6,0.01383
2.921,2.511e-05,0.8396,171.6,-97.48,0.01702
269200,4.873e-05,0.8636,49850000,-67.12,0.0054
1.859,2.016e-05,1.347,957.5,-92.5,0.001942
3096,7.844e-05,0.7087,225200,-1,0.01375
1.168,3.329e-05,1.649,2012,-1.001,0.0005805
1.043,0.000213,1.999,22700,-1.001,4.595e-05
1.216,6.613e-05,1.337,949.1,-59.56,0.001281
2.133,1.227e-05,1.845,11980,-121.1,0.000178
0.9761,5.955e-05,1.997,10490,-1,9.305e-05
3.428,7.532e-05,0.9542,768,-1,0.004464
1.248,2.144e-05,2,3235,-146.6,0.0003858
1.296,2.085e-05,2,4631,-146.4,0.0002799
1.636,2.11e-05,1.982,18110,-135.1,9.034e-05
1.384,2.025e-05,2,4652,-144.4,0.0002975
1.55,3.011e-05,0.8039,55.19,-136.4,0.02808
1.382,2.03e-05,2,4627,-123,0.0002987
39570,1.069e-05,0.7437,1861000,-134.2,0.02126
1.694,2.336e-05,1.836,11110,-160.5,0.0001525
2.088,1.495e-05,2,37940,-52.45,5.503e-05
1.676,2.098e-05,2,22800,-114.5,7.351e-05
1.027,4.983e-05,2,11280,-1,9.105e-05
224.4,6.213e-05,0.8223,33180,-60.94,0.006763
14400,0.0001436,1.004,6549000,-1,0.002199
2191,8.802e-05,0.8168,304600,-1,0.007193
2.103,1.224e-05,2,26630,-104.4,7.897e-05
4228,2.048e-05,0.7773,308700,-175.4,0.0137
1.719,1.422e-05,2,9405,-129.1,0.0001828
10.95,0.0001547,0.8114,1433,-1,0.007641
268500,0.0003616,1.161,334900000,-1,0.0008017
2.12,1.246e-05,1.843,11720,-144.4,0.0001809
1.292,2.299e-05,2,3137,-136.2,0.0004119
163.8,9.778e-06,0.819,9290,-155.6,0.01763
143300,0.003238,1.017,73600000,-1,0.001947
1.693,1.862e-05,2,20170,-110.9,8.394e-05
132.7,1.157e-05,0.9401,20090,-178.4,0.006605
1.895,1.559e-05,1.835,3564,-155.3,0.0005317
80630,4.847e-05,0.9416,23610000,-67.54,0.003415
4747,1.548e-05,1.027,1664000,-153.7,0.002853
1.158,6.377e-05,2,26910,-68.24,4.303e-05
2.377,1.093e-05,2,14320,-110.9,0.000166
1.438,2.187e-05,1.873,9841,-164.5,0.0001461
1.563,1.251e-05,2,5315,-129.1,0.0002941
28.58,8.247e-06,1.112,8134,-139.5,0.003514
3.855,0.0001512,0.9615,1028,-1,0.00375
1.286,2.973e-05,1.726,5956,-152.9,0.0002159
1.405,2.007e-05,1.999,14550,-185.5,9.656e-05
74340,1.245e-05,1.153,37290000,-177.1,0.001994
52.69,1.249e-05,0.6925,1810,-163.2,0.02911
40740,1.993e-05,0.8363,4212000,-171.1,0.009672
2.289,1.194e-05,1.587,1528,-154.8,0.001498
1.765,0.005248,1.145,973.2,-1,0.001814
3.358,8.599e-06,1.092,247.2,-100.9,0.01358
4.774,8.812e-06,1.195,1230,-96.79,0.003881
6.006,7.316e-05,0.935,1395,-1,0.004305
3.263,1.984e-05,1.273,2523,-116,0.001293
1.675,2.1e-05,2,22800,-111.3,7.346e-05
1.662,1.489e-05,2,6689,-98.86,0.0002485
4.541,4.07e-05,0.5689,108,-42.47,0.04205
1.213,2.048e-05,2,3513,-140.3,0.0003453
3.46,1.035e-05,1.372,3086,-120.5,0.001121
1.162,3.119e-05,2,10320,-152.4,0.0001126
1.167,3.196e-05,2,16720,-57.08,6.98e-05
256.9,1.981e-05,0.8621,30660,-148,0.008379
1.594,2.305e-05,1.48,1635,-79.22,0.0009749
2.381,1.403e-05,1.564,4416,-146.5,0.0005392
1.496,3.397e-05,0.95,118.7,-167.2,0.0126
1.48,1.244e-05,2,4202,-134.6,0.0003522
2.311,2.312e-05,0.914,162.9,-91.85,0.01419
14.84,0.005178,0.9001,3512,-1,0.004226
0.9991,5.233e-05,1.72,2279,-1.002,0.0004384
3.302,2.224e-05,0.7675,131.3,-152,0.02515
1.23,7.148e-05,1.847,16590,-1,7.414e-05
1.752,1.501e-05,1.269,252.9,-124.6,0.006928
2.381,1.403e-05,1.564,4416,-146.5,0.0005392
1.178,3.147e-05,2,10570,-1.001,0.0001114
5709,1.657e-05,0.6081,167500,-146.6,0.03408
2.067,2.047e-05,1.185,550.1,-88.93,0.003757
1.729,2.342e-05,1.754,7738,-116.2,0.0002234
142100,1.761e-05,1.003,39320000,-143.6,0.003614
1.237,2.969e-05,1.521,1253,-154.6,0.0009872
1.64,1.747e-05,1.186,312,-145.6,0.005256
1.726,1.411e-05,2,9675,-159.7,0.0001784
1.203,0.0001308,2,51800,-1,2.322e-05
1222,3.208e-05,0.6853,69130,-149.8,0.01768
5.004,2.21e-05,0.746,218.5,-103.8,0.0229
1.137,2.118e-05,2,9692,-1.002,0.0001173
67610,1.906e-05,0.7016,3207000,-90.1,0.02108
3.741,2.43e-05,0.8514,271,-109.9,0.0138
21.16,1.271e-05,0.715,796.4,-100.6,0.02657
1.842,1.357e-05,2,11880,-134.2,0.0001551
1.244,2.988e-05,2,22860,-158.2,5.442e-05
4.175,0.000136,0.7648,356.4,-1.002,0.01171
