ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2278,0.6564,NA,NA,NA,NA,23650,0.5335,8243,1.257,NA,NA,756.2,1.443
1907,0.5809,NA,NA,NA,NA,18750,0.5242,9305,1.117,NA,NA,941.1,1.604
1668,0.5396,NA,NA,NA,NA,22270,0.7123,8280,0.897,NA,NA,986,1.321
3132,0.5575,NA,NA,NA,NA,29660,0.5017,10990,1.132,NA,NA,1019,1.915
2395,0.5666,NA,NA,NA,NA,28290,0.5253,9946,0.9289,NA,NA,750.5,1.752
1620,0.7251,NA,NA,NA,NA,46140,0.5122,11360,1.136,NA,NA,894,1.671
2104,0.6005,NA,NA,NA,NA,28560,0.5354,12110,1.072,NA,NA,904.4,1.771
2031,0.573,NA,NA,NA,NA,18790,0.7298,10500,1.118,NA,NA,908.8,1.663
1976,0.5437,NA,NA,NA,NA,24380,0.7058,8955,1.569,NA,NA,924.7,1.778
1976,0.5049,NA,NA,NA,NA,67350,0.5567,9547,1.515,NA,NA,1119,1.848
2436,0.8123,NA,NA,NA,NA,20690,0.6559,8192,1.872,NA,NA,897.9,1.905
3104,0.6405,NA,NA,NA,NA,20730,0.6213,12610,0.8637,NA,NA,944.9,1.652
2158,0.5302,NA,NA,NA,NA,16110,0.8514,10190,1.091,NA,NA,949.6,1.671
2708,0.5619,NA,NA,NA,NA,23240,0.6701,7911,1.171,NA,NA,953.7,1.714
2736,0.6145,NA,NA,NA,NA,18350,0.7834,10140,1.064,NA,NA,836.8,1.526
2503,0.6096,NA,NA,NA,NA,32890,0.6304,9922,1.166,NA,NA,1006,1.529
2159,0.6235,NA,NA,NA,NA,13620,1.269,10730,1.216,NA,NA,806.8,1.539
2191,0.5436,NA,NA,NA,NA,31630,0.6897,9694,1.326,NA,NA,854.8,1.728
2136,0.6071,NA,NA,NA,NA,16360,1.404,9178,1.418,NA,NA,771.2,1.492
2434,0.5807,NA,NA,NA,NA,11570,1.322,8761,0.9884,NA,NA,984.4,1.306
1939,0.6588,NA,NA,NA,NA,57630,0.5235,15520,1.046,NA,NA,1093,1.007
2697,0.5839,NA,NA,NA,NA,15630,0.7404,11730,1.059,NA,NA,1068,1.839
2324,0.6464,NA,NA,NA,NA,38440,0.5812,8284,1.514,NA,NA,886.8,1.544
1966,0.5936,NA,NA,NA,NA,32230,0.5725,10180,1.459,NA,NA,812.7,1.581
2210,0.567,NA,NA,NA,NA,33630,0.5414,9228,1.789,NA,NA,947,1.514
2101,0.5551,NA,NA,NA,NA,13050,0.9706,14360,1.261,NA,NA,902.5,1.966
1450,0.5305,NA,NA,NA,NA,25280,0.6051,24330,0.6883,NA,NA,716.1,1.342
2202,0.7426,NA,NA,NA,NA,29230,0.7395,14720,0.7392,NA,NA,778.8,1.772
2098,0.661,NA,NA,NA,NA,20610,0.606,10310,1.076,NA,NA,910.6,1.562
2179,0.5936,NA,NA,NA,NA,26650,0.5569,13820,0.9865,NA,NA,932.8,1.696
2313,0.7568,NA,NA,NA,NA,15580,0.9638,10210,1.063,NA,NA,784.4,1.283
3244,0.5031,NA,NA,NA,NA,16130,0.6723,11220,1.015,NA,NA,677.9,1.485
3138,0.5468,NA,NA,NA,NA,14820,0.8612,11920,1.319,NA,NA,925.4,1.491
2116,0.5792,NA,NA,NA,NA,25920,0.7169,7666,1.623,NA,NA,849.2,1.947
2070,0.6607,NA,NA,NA,NA,28190,0.574,8785,1.437,NA,NA,872,1.627
3549,0.6865,NA,NA,NA,NA,37870,0.5393,8488,1.598,NA,NA,1022,1.769
2468,0.5758,NA,NA,NA,NA,17860,0.5998,16640,0.9565,NA,NA,993.8,1.849
3430,0.5054,NA,NA,NA,NA,60750,0.6775,11560,1.101,NA,NA,913.6,1.824
2175,0.7033,NA,NA,NA,NA,44500,0.6661,10740,1.368,NA,NA,970.8,1.524
1868,0.692,NA,NA,NA,NA,41920,0.558,9633,1.365,NA,NA,982.1,1.237
2439,0.5892,NA,NA,NA,NA,37830,0.5678,10710,1.437,NA,NA,845.5,1.294
2577,0.5804,NA,NA,NA,NA,33950,0.607,9174,1.488,NA,NA,851,1.604
2180,0.5265,NA,NA,NA,NA,28300,0.6502,9395,1.215,NA,NA,679.9,1.9
2573,0.5742,NA,NA,NA,NA,37320,0.5404,8220,1.149,NA,NA,791,1.715
2386,0.6816,NA,NA,NA,NA,15490,0.9293,8611,1.394,NA,NA,943.9,1.48
2792,0.6056,NA,NA,NA,NA,38980,0.5159,9674,1.29,NA,NA,821.9,1.54
1943,0.5542,NA,NA,NA,NA,45010,0.5556,10270,1.228,NA,NA,856.9,1.824
2180,0.5348,NA,NA,NA,NA,42280,0.5362,11650,1.046,NA,NA,717.5,1.803
1742,0.5192,NA,NA,NA,NA,66030,0.525,10460,1.585,NA,NA,590.4,1.66
2073,0.6562,NA,NA,NA,NA,49140,0.5208,7989,1.586,NA,NA,560.3,1.352
2359,0.6647,NA,NA,NA,NA,27700,0.7856,10190,1.405,NA,NA,655.2,0.9057
2635,0.7124,NA,NA,NA,NA,32030,0.5636,11510,0.8958,NA,NA,745.9,1.184
2401,0.5661,NA,NA,NA,NA,32840,0.6149,9056,1.743,NA,NA,877,1.672
2363,0.5709,NA,NA,NA,NA,21710,0.7686,8204,1.844,NA,NA,886.1,1.568
2114,0.6192,NA,NA,NA,NA,17330,0.8032,10390,1.624,NA,NA,999.3,0.9929
2027,0.5473,NA,NA,NA,NA,28270,0.6184,9485,1.305,NA,NA,980.9,1.713
2044,0.5559,NA,NA,NA,NA,16990,0.8194,10860,1.525,NA,NA,773.9,1.515
2170,0.5371,NA,NA,NA,NA,20940,0.8201,10750,1.264,NA,NA,897.4,1.74
2878,0.543,NA,NA,NA,NA,23240,0.6911,9631,1.507,NA,NA,933.3,1.908
2766,0.6221,NA,NA,NA,NA,17390,0.5276,8373,1.363,NA,NA,763.8,1.573
2048,0.6153,NA,NA,NA,NA,15380,0.5739,9523,1.636,NA,NA,799.3,1.531
2420,0.5295,NA,NA,NA,NA,17170,0.7387,8351,1.037,NA,NA,1075,0.8075
1801,0.5419,NA,NA,NA,NA,70780,0.5485,11510,1.051,NA,NA,865.8,1.18
2418,0.6937,NA,NA,NA,NA,116300,0.5007,9688,0.9195,NA,NA,928,1.568
4151,0.6614,NA,NA,NA,NA,39110,0.7139,14480,0.8217,NA,NA,1129,1.787
2216,0.7876,NA,NA,NA,NA,30790,0.5626,11230,1.239,NA,NA,901.6,1.406
1909,0.5218,NA,NA,NA,NA,35320,0.5561,11570,1.2,NA,NA,669,1.868
2408,0.5463,NA,NA,NA,NA,30030,0.5575,14700,1.034,NA,NA,1223,1.704
2103,0.705,NA,NA,NA,NA,17630,0.7291,20610,0.645,NA,NA,1008,1.711
2236,0.5623,NA,NA,NA,NA,23900,0.6551,18630,0.7407,NA,NA,906.5,1.819
2742,0.7473,NA,NA,NA,NA,41580,0.5992,11240,1.228,NA,NA,830.9,1.733
2588,0.5935,NA,NA,NA,NA,77970,0.5259,9411,1.242,NA,NA,1112,1.784
2809,0.6304,NA,NA,NA,NA,44510,0.5468,11490,1.374,NA,NA,861.1,1.779
2177,0.6156,NA,NA,NA,NA,65770,0.5356,10140,1.505,NA,NA,815.1,1.092
1834,0.6671,NA,NA,NA,NA,19030,0.517,12510,0.9537,NA,NA,1100,1.365
2229,0.6193,NA,NA,NA,NA,20870,0.9865,9548,0.8443,NA,NA,980.3,1.987
2413,0.8322,NA,NA,NA,NA,39050,0.5521,10850,1.13,NA,NA,980.3,1.556
2151,0.7001,NA,NA,NA,NA,42630,0.5702,10580,1.11,NA,NA,808.4,1.59
2452,0.5969,NA,NA,NA,NA,30450,0.5954,10580,1.076,NA,NA,983.6,1.587
1873,0.5519,NA,NA,NA,NA,18430,0.7749,8801,1.249,NA,NA,742.1,1.574
3296,0.6019,NA,NA,NA,NA,32010,0.6101,8138,1.567,NA,NA,949.2,1.591
3965,0.5148,NA,NA,NA,NA,54710,0.5801,11840,1.081,NA,NA,955,1.502
2257,0.6072,NA,NA,NA,NA,32960,0.5434,13420,1.012,NA,NA,727.1,1.707
1813,0.6988,NA,NA,NA,NA,16890,0.6747,11000,1.344,NA,NA,818,1.644
1591,0.5407,NA,NA,NA,NA,14980,0.7547,10370,1.118,NA,NA,942.7,1.384
1687,0.557,NA,NA,NA,NA,16710,0.8257,12760,1.053,NA,NA,913.3,1.741
1908,0.5495,NA,NA,NA,NA,13410,0.8164,9869,1.05,NA,NA,822.9,1.509
2319,0.7837,NA,NA,NA,NA,39760,0.6334,9372,1.298,NA,NA,886.8,1.751
2424,0.6402,NA,NA,NA,NA,14480,0.6495,10110,1.186,NA,NA,858.7,1.911
2732,0.5152,NA,NA,NA,NA,27970,0.5845,11680,1.229,NA,NA,835.2,1.544
2373,0.5283,NA,NA,NA,NA,30480,0.706,11150,1.302,NA,NA,900.8,1.335
2897,0.7134,NA,NA,NA,NA,43240,0.5155,10680,0.9826,NA,NA,1038,1.705
3275,0.6293,NA,NA,NA,NA,54020,0.5043,10150,1.596,NA,NA,834.2,1.399
2348,0.5224,NA,NA,NA,NA,46890,0.5655,8847,1.452,NA,NA,820.2,1.29
1490,0.685,NA,NA,NA,NA,15230,0.664,10280,1.898,NA,NA,965.2,1.778
1642,0.6061,NA,NA,NA,NA,15470,0.6163,9819,1.132,NA,NA,991.3,1.478
2113,0.5233,NA,NA,NA,NA,22640,0.6631,8066,1.788,NA,NA,979.8,1.983
1845,0.5223,NA,NA,NA,NA,16230,0.6131,9883,1.574,NA,NA,982.7,1.906
