ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
424,0.566,NA,NA,NA,NA,913.3,0.729,185,1.453,NA,NA,288.4,0.849
753.8,0.5684,NA,NA,NA,NA,1399,0.5272,156.5,1.182,NA,NA,425.1,0.5921
955.2,0.507,NA,NA,NA,NA,893.4,0.5987,161.4,1.247,NA,NA,795.9,0.7213
615.7,0.5329,NA,NA,NA,NA,1037,0.56,218.2,1.068,NA,NA,262.8,1.097
936.7,0.5149,NA,NA,NA,NA,888.3,0.6609,276.2,0.9322,NA,NA,650.6,0.7634
1120,0.5255,NA,NA,NA,NA,753,0.7848,167.3,1.36,NA,NA,362.9,0.7997
1581,0.5012,NA,NA,NA,NA,639.9,1.002,180.1,1.206,NA,NA,384.9,0.8904
784.5,0.5773,NA,NA,NA,NA,1125,0.6234,223.5,1.144,NA,NA,349.7,1.374
772.2,0.526,NA,NA,NA,NA,551.2,0.8454,199.2,1.35,NA,NA,291.7,0.8337
1213,0.5372,NA,NA,NA,NA,1223,0.6443,164.4,1.231,NA,NA,291.9,1.134
930.8,0.592,NA,NA,NA,NA,669.5,0.8575,205.1,0.9854,NA,NA,295.4,1.359
769.1,0.5832,NA,NA,NA,NA,518.7,0.8112,188.8,1.104,NA,NA,428.1,0.6671
1052,0.5492,NA,NA,NA,NA,634.9,0.8493,143,1.09,NA,NA,260,0.9149
497.7,0.7606,NA,NA,NA,NA,850.4,0.6813,140.2,1.32,NA,NA,367.6,0.8604
976.4,0.5327,NA,NA,NA,NA,763.8,0.7576,168.3,1.591,NA,NA,686.9,0.5495
862.8,0.6345,NA,NA,NA,NA,603.9,0.7453,172.4,1.221,NA,NA,392.3,0.803
909.6,0.5061,NA,NA,NA,NA,744.8,0.819,139.7,1.136,NA,NA,568.8,0.5814
736.3,0.5151,NA,NA,NA,NA,1229,0.6195,151.7,1.204,NA,NA,625.3,0.6244
577.5,0.5026,NA,NA,NA,NA,1335,0.5477,158.2,0.9382,NA,NA,335.1,1.086
607.8,0.5157,NA,NA,NA,NA,1653,0.5522,151,1.093,NA,NA,673,0.8723
705.1,0.51,NA,NA,NA,NA,1291,0.5602,169,1.166,NA,NA,480.9,0.775
553.8,0.5102,NA,NA,NA,NA,586.9,0.8535,165,1.367,NA,NA,581.7,0.7096
714.7,0.6281,NA,NA,NA,NA,1536,0.5062,170.4,0.9315,NA,NA,351.4,0.9022
603.8,0.532,NA,NA,NA,NA,1254,0.5857,143.5,1.024,NA,NA,302.9,0.7935
606,0.6617,NA,NA,NA,NA,1125,0.6594,143.1,1.055,NA,NA,493.8,0.7155
656.7,0.6026,NA,NA,NA,NA,1390,0.5066,190.1,1.244,NA,NA,349.8,1.215
803.4,0.5241,NA,NA,NA,NA,1226,0.5043,170.1,1.128,NA,NA,381.4,0.5921
684.9,0.5905,NA,NA,NA,NA,1600,0.5639,163.6,1.257,NA,NA,682.5,0.7774
1234,0.609,NA,NA,NA,NA,1634,0.5013,174.5,1.516,NA,NA,636.9,0.7
747.2,0.5501,NA,NA,NA,NA,673.4,0.6257,174.5,1.188,NA,NA,625.5,0.919
1086,0.5198,NA,NA,NA,NA,701.6,0.751,151.2,1.323,NA,NA,503.7,1.058
973,0.5012,NA,NA,NA,NA,605.2,0.8197,149.1,1.247,NA,NA,368.9,1.669
1009,0.5029,NA,NA,NA,NA,1026,0.5669,162.1,1.253,NA,NA,305.5,1.397
721.6,0.5416,NA,NA,NA,NA,869.9,0.7067,182.4,1.285,NA,NA,430.3,0.8263
1492,0.5197,NA,NA,NA,NA,510.5,0.9624,143.5,1.441,NA,NA,548.9,0.5348
1487,0.5164,NA,NA,NA,NA,1038,0.6486,145,1.355,NA,NA,429.6,0.6565
1339,0.5012,NA,NA,NA,NA,652.2,0.6005,156.5,1.3,NA,NA,525.2,0.6768
898.3,0.5128,NA,NA,NA,NA,1165,0.7071,141.9,1.234,NA,NA,439.3,0.9491
1001,0.5472,NA,NA,NA,NA,457.2,1.044,149.5,1.214,NA,NA,300.6,1.07
1330,0.5359,NA,NA,NA,NA,618,0.643,150.8,1.058,NA,NA,566.5,0.6954
606.5,0.6608,NA,NA,NA,NA,629.2,0.7552,153.5,1.155,NA,NA,269,0.6804
837.1,0.583,NA,NA,NA,NA,1401,0.6193,192.3,0.9438,NA,NA,399.4,0.7898
581.4,0.5697,NA,NA,NA,NA,972.5,0.7419,191.2,1.226,NA,NA,415.1,1.214
633.5,0.6413,NA,NA,NA,NA,1278,0.5064,162,1.193,NA,NA,443.9,1.416
642.3,0.5623,NA,NA,NA,NA,821,0.6261,179.6,1.385,NA,NA,1332,0.657
2125,0.5362,NA,NA,NA,NA,1104,0.7089,133.3,1.141,NA,NA,764.8,0.8197
567,0.6178,NA,NA,NA,NA,735.2,0.7137,143.9,0.9527,NA,NA,341.9,0.8437
366.8,0.5404,NA,NA,NA,NA,636.3,1.044,156.3,1.066,NA,NA,421.8,0.5772
443.5,0.5361,NA,NA,NA,NA,579.6,1.064,151.7,1.123,NA,NA,423.2,1.042
1075,0.5127,NA,NA,NA,NA,835.5,0.7875,135.9,1.282,NA,NA,280.1,1.641
601.6,0.6501,NA,NA,NA,NA,929.6,0.8221,185.8,1.051,NA,NA,402.9,1.529
832.1,0.6367,NA,NA,NA,NA,621.7,0.6165,159.2,1.034,NA,NA,227.7,0.9798
824,0.5585,NA,NA,NA,NA,829.6,0.5793,150.7,1.506,NA,NA,505.7,0.7073
796.2,0.5072,NA,NA,NA,NA,1111,0.5653,163.2,0.9834,NA,NA,778.6,0.5073
1581,0.5304,NA,NA,NA,NA,596.7,0.7552,202.8,1.303,NA,NA,446.8,0.8668
908,0.5695,NA,NA,NA,NA,1616,0.5482,184.8,1.093,NA,NA,613.9,0.5729
962.5,0.5163,NA,NA,NA,NA,877.1,0.5972,177.6,1.008,NA,NA,438.6,0.9426
608.9,0.5286,NA,NA,NA,NA,820.8,0.6764,172.5,0.801,NA,NA,463.8,0.9837
846.9,0.5566,NA,NA,NA,NA,621.9,0.6986,178.1,1.108,NA,NA,378.4,0.7912
613.9,0.7747,NA,NA,NA,NA,772.9,0.6376,157.2,1.354,NA,NA,526.6,0.7364
503.5,0.7538,NA,NA,NA,NA,392.2,1.113,139.8,1.54,NA,NA,512,0.7827
595.3,0.6405,NA,NA,NA,NA,857.2,1.052,168.7,1.262,NA,NA,468.2,0.6941
936.3,0.6249,NA,NA,NA,NA,718.5,0.7377,161.9,1.237,NA,NA,368.7,1.079
765.9,0.5158,NA,NA,NA,NA,589.3,0.66,164.4,1.056,NA,NA,309.4,0.9589
389.7,0.5757,NA,NA,NA,NA,1424,0.5202,154.9,1.146,NA,NA,386.2,0.9324
484.7,0.6972,NA,NA,NA,NA,712.1,0.9235,151.8,1.112,NA,NA,447.9,0.8561
598.5,0.5707,NA,NA,NA,NA,952.3,0.5644,180.1,1.204,NA,NA,359.4,0.7662
639.7,0.5219,NA,NA,NA,NA,850.9,0.6549,152,1.133,NA,NA,545.1,0.8124
654.6,0.5276,NA,NA,NA,NA,910.3,0.7738,150.7,1.443,NA,NA,249.7,1.167
525.7,0.6285,NA,NA,NA,NA,589.6,1.014,129.3,1.032,NA,NA,198.1,0.8152
797.9,0.5786,NA,NA,NA,NA,751.2,0.8529,150.5,1.058,NA,NA,380.9,0.7359
460.3,0.6914,NA,NA,NA,NA,1153,0.5802,163.2,1.086,NA,NA,425.4,0.6767
632.7,0.7924,NA,NA,NA,NA,890.3,0.5019,163.5,1.051,NA,NA,606.8,0.5852
458.5,0.8325,NA,NA,NA,NA,945.8,0.6598,166.7,1.145,NA,NA,234,0.8963
1770,0.5591,NA,NA,NA,NA,1303,0.7096,168.9,1.237,NA,NA,351.6,0.8171
760.4,0.6101,NA,NA,NA,NA,1461,0.6246,149.4,1.115,NA,NA,624.3,0.6166
905.2,0.5328,NA,NA,NA,NA,678.5,0.6917,155.1,1.175,NA,NA,332.3,0.7617
741.1,0.5717,NA,NA,NA,NA,1232,0.6527,164.5,1.301,NA,NA,629.6,0.6113
908.6,0.6139,NA,NA,NA,NA,691.5,0.6626,144.6,1.245,NA,NA,1011,0.584
612.1,0.5077,NA,NA,NA,NA,647.5,0.6903,149.6,1.158,NA,NA,322.8,1.341
1110,0.5011,NA,NA,NA,NA,1078,0.593,176.6,1.261,NA,NA,394.3,1.12
1077,0.5005,NA,NA,NA,NA,976.5,0.529,143.3,1.233,NA,NA,572.9,1.005
952.8,0.5391,NA,NA,NA,NA,967.4,0.599,202,1.323,NA,NA,426.8,0.8386
963.5,0.5745,NA,NA,NA,NA,965.5,0.5311,154.6,1.135,NA,NA,376,0.8386
820.4,0.5285,NA,NA,NA,NA,620.6,0.7955,149.2,1.027,NA,NA,318.1,1.798
1050,0.5237,NA,NA,NA,NA,934.1,0.6496,166.2,1.051,NA,NA,276,0.9604
1101,0.628,NA,NA,NA,NA,629.2,0.9052,170.6,1.387,NA,NA,288.7,0.9401
991.1,0.5818,NA,NA,NA,NA,1318,0.6343,195.4,1.113,NA,NA,436.2,0.6414
802.9,0.5084,NA,NA,NA,NA,1249,0.7014,215.4,0.8099,NA,NA,436.2,0.9506
940,0.5257,NA,NA,NA,NA,538.9,0.9936,227.1,0.8923,NA,NA,304.3,1.228
