Kmax,Ku,n,halfmax,Vhalf,slope
0.2087,0.9707,1.495,1047,-35.07,0.0001993
0.2651,0.7289,0.6192,46.75,-1.003,0.005671
0.2846,0.9945,0.6022,29.74,-37.95,0.00957
0.3122,0.9999,2,86750,-74.55,3.599e-06
68190000,1.123e-09,0.6789,3117000,-2.145,21.88
0.2827,0.9905,2,38360,-68.54,7.37e-06
0.191,0.7324,1.622,2213,-1.675,8.631e-05
0.2605,0.9548,0.7216,36.67,-6.1,0.007104
0.2477,0.9995,1.449,1613,-43.63,0.0001536
0.239,0.9615,1.413,730.6,-89.59,0.0003271
0.2856,0.3957,1.032,279.2,-74.19,0.001023
0.2268,0.7341,0.8496,102.1,-1,0.002221
0.9365,0.8965,0.5,118.2,-96.14,0.007923
0.2895,0.9753,0.7462,89.76,-36.49,0.003225
0.2791,0.9398,0.7538,51.82,-55.1,0.005386
0.2618,0.9998,0.9292,82.23,-42.13,0.003184
0.5719,0.7798,0.5265,53.58,-141.6,0.01067
0.2751,0.9261,1.313,1035,-72.07,0.0002658
0.3246,0.9777,0.7772,162.8,-36.35,0.001994
0.331,0.7338,0.5,21.06,-45.66,0.01572
0.2959,0.9964,2,57700,-73.14,5.128e-06
0.295,0.9882,0.7592,80.24,-39.83,0.003676
0.259,0.9275,1.184,264.4,-72.7,0.0009796
0.2838,0.9263,0.9357,123.3,-40.78,0.002302
0.2221,0.938,1.324,559,-3.292,0.0003973
0.304,0.9788,0.7389,74.4,-34.71,0.004086
0.2662,0.998,2,57380,-66.98,4.639e-06
0.2218,0.736,1.313,874.9,-44.65,0.0002535
0.2561,0.6582,1.074,176.3,-57.8,0.001453
0.2476,0.9991,0.9113,66.21,-31.29,0.00374
0.2009,0.7449,1.538,1044,-42.18,0.0001924
0.2918,0.718,0.9988,202.7,-72.19,0.00144
0.258,0.9953,0.995,171.2,-43.98,0.001507
0.2475,0.9999,1.999,21460,-53.7,1.153e-05
0.2512,0.7195,1.131,477.3,-33.25,0.0005263
0.2643,0.9736,0.9399,104.1,-70.99,0.002539
0.2094,0.9442,2,52330,-1.003,4.002e-06
0.4257,0.9345,0.5,34.44,-183.1,0.01236
0.2829,0.4962,0.8393,66.11,-155.8,0.004279
1.049,0.8657,0.5,142.2,-149.5,0.007377
3595,0.9431,0.5501,970300,-68.89,0.003705
0.2567,0.7212,2,57330,-36.59,4.478e-06
0.2887,0.9889,0.8063,51.08,-43.5,0.005652
0.2534,0.933,1.324,551.4,-32.3,0.0004596
0.2693,0.9882,1.01,210.3,-44.14,0.001281
0.233,0.7787,1.029,127.5,-37.62,0.001827
0.6525,0.7926,0.5,64.19,-161.5,0.01017
0.2506,0.9939,1.156,666.6,-64.95,0.0003759
0.2711,1,0.7222,33.19,-35.11,0.008168
0.2549,1,2,58370,-42.88,4.367e-06
0.2169,0.7753,1.218,269.6,-27.81,0.0008045
0.2376,0.9984,1.998,57000,-25.9,4.168e-06
0.2774,0.9997,1.106,254.9,-44.75,0.001088
57700000,1.171e-09,0.7091,3487000,-1.39,16.55
0.3202,0.4979,0.8316,141.7,-75.07,0.00226
0.2315,0.9992,2,53000,-42.11,4.368e-06
0.212,0.9448,1.408,866.2,-1.004,0.0002447
0.2458,0.9913,2,91890,-34.42,2.675e-06
0.2672,0.9999,1.23,542.4,-62.66,0.0004926
0.2498,0.9998,2,36980,-38.25,6.755e-06
0.2455,0.995,2,91230,-34.26,2.691e-06
0.4554,0.7854,0.5001,54.01,-36.07,0.008432
0.2682,0.9973,2,61710,-61.79,4.346e-06
0.2733,0.9322,0.9129,97.86,-42.26,0.002793
47830000,1.219e-09,0.7139,3154000,-1.046,15.16
0.2488,0.9999,0.8753,147.7,-11.38,0.001684
0.2354,0.9122,2,39650,-5.928,5.937e-06
0.2546,0.8767,0.8007,30.6,-69.43,0.00832
0.2176,0.9503,1.723,3305,-37.42,6.584e-05
0.2575,0.9999,2,22050,-37.84,1.168e-05
56660000,1.158e-09,0.6532,2204000,-1.525,25.71
0.2792,0.7386,0.6685,51.31,-39.18,0.005441
0.2696,0.831,2,36570,-71.28,7.372e-06
0.2942,0.9235,0.7619,70.38,-70.92,0.00418
0.2535,0.8278,1.533,1304,-141.6,0.0001944
0.7215,0.7208,0.5631,93.2,-1,0.007741
0.2552,0.9266,2,24030,-36.6,1.062e-05
0.2859,0.9888,2,39720,-69.98,7.198e-06
0.2385,0.9885,2,58040,-32.69,4.109e-06
0.2799,0.9999,2,61620,-44.47,4.542e-06
0.2519,0.9817,2,36790,-32.4,6.847e-06
0.6584,0.8505,0.5001,69.26,-137.9,0.009506
0.2349,0.9994,1.377,562,-37.92,0.000418
0.4662,0.9622,0.5775,59.12,-84.37,0.007886
0.2173,0.7758,2,19690,-5.183,1.104e-05
0.2391,1,2,19450,-37.96,1.229e-05
0.2635,1,1.391,1301,-61.85,0.0002025
0.2948,0.9999,2,62220,-68.1,4.738e-06
0.2817,1,2,26790,-37.22,1.052e-05
0.2609,0.9999,1.257,439.5,-40.58,0.0005936
0.2383,0.9906,2,57470,-32.83,4.147e-06
0.2665,0.9999,1.344,1112,-37.58,0.0002397
0.7125,0.4995,0.5,78.75,-76.18,0.009048
0.4462,0.4958,0.5467,53.89,-66.05,0.00828
0.2544,0.9785,1.051,230.2,-29.31,0.001105
0.2517,0.9186,0.9447,75.6,-53.98,0.003329
0.2792,0.9964,1.096,154.9,-64.9,0.001802
0.2471,0.508,0.7981,44.41,-57.93,0.005564
0.2676,0.9994,2,38680,-37.35,6.918e-06
0.3695,0.913,0.5483,21.74,-86.86,0.017
0.2722,0.9999,2,35950,-43.96,7.572e-06
0.2024,0.7451,2,18000,-2.247,1.124e-05
0.2781,0.9999,0.9349,111.4,-62.66,0.002496
3.032,0.7095,0.5,520.4,-73.15,0.005826
0.289,0.6568,0.9311,119.4,-60.62,0.00242
0.2522,0.9797,1.119,323.8,-44.45,0.0007789
0.239,0.9055,1.995,56210,-41.38,4.252e-06
57420000,1.013e-09,0.7972,5896000,-1.834,9.739
0.1972,0.7388,1.014,106.6,-9.496,0.00185
0.2524,0.8991,1.078,178.8,-41.53,0.001412
0.2502,0.9813,1.142,425.6,-67.11,0.0005879
0.2435,0.7804,1.146,326.8,-32.74,0.0007451
0.255,0.9865,1.053,230.3,-43.95,0.001107
0.2725,0.9962,1.392,815.5,-61.01,0.0003342
