ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
379.5,0.6911,NA,NA,NA,NA,29990,0.8148,414100,1.546,NA,NA,23200,0.6126
357.8,0.6319,NA,NA,NA,NA,30180,0.696,30180000,0.7351,NA,NA,13200,0.5932
356.3,0.62,NA,NA,NA,NA,96570,0.5251,9924000,0.6582,NA,NA,44330,0.5771
313.8,0.5986,NA,NA,NA,NA,96770,0.5177,3280000,1.22,NA,NA,48000,0.5683
408.2,0.7459,NA,NA,NA,NA,93660,0.5266,138200000,1.146,NA,NA,6824,1.446
299.7,0.633,NA,NA,NA,NA,87980,0.5222,4755000,0.8303,NA,NA,10890,0.7352
191.8,0.6616,NA,NA,NA,NA,86750,0.5051,1600000,1.555,NA,NA,40780,0.6025
300.4,0.5765,NA,NA,NA,NA,74190,0.5718,1221000,1.591,NA,NA,30070,0.5489
333.1,0.6613,NA,NA,NA,NA,35650,0.5445,1.30E+09,0.9015,NA,NA,35330,0.5413
439.3,0.8585,NA,NA,NA,NA,42820,0.5975,1.58E+09,1.594,NA,NA,22970,0.6644
348.6,0.548,NA,NA,NA,NA,88110,0.5304,249900000,1.918,NA,NA,10060,0.9236
394,0.7238,NA,NA,NA,NA,44090,0.6122,1266000,1.498,NA,NA,29700,0.5456
423,1.139,NA,NA,NA,NA,68720,0.5404,1375000,1.846,NA,NA,32090,0.5371
274.3,0.785,NA,NA,NA,NA,39290,0.6021,131800,1.666,NA,NA,28590,0.6046
445.2,0.587,NA,NA,NA,NA,94530,0.501,770300000,1.077,NA,NA,28400,0.6441
294.7,0.7706,NA,NA,NA,NA,97190,0.5463,403400,1.363,NA,NA,17360,0.6514
497.6,0.9676,NA,NA,NA,NA,18500,0.8109,1.53E+09,0.9751,NA,NA,24520,0.5787
463.3,0.8298,NA,NA,NA,NA,21100,0.7855,2.69E+09,1.399,NA,NA,31070,0.5665
350.6,0.7779,NA,NA,NA,NA,49050,0.5497,1929000,1.878,NA,NA,15140,0.6613
315.4,0.6756,NA,NA,NA,NA,57010,0.5914,9.48E+09,0.7741,NA,NA,12110,0.7227
372.8,0.7446,NA,NA,NA,NA,87790,0.5266,14370000,0.9982,NA,NA,13470,0.8044
380.5,0.5136,NA,NA,NA,NA,96360,0.5265,249700000,1.8,NA,NA,8986,1.143
473.1,0.7625,NA,NA,NA,NA,46060,0.6522,471100,1.905,NA,NA,7378,1.558
589.7,1.063,NA,NA,NA,NA,53580,0.682,814500000,0.5771,NA,NA,15630,0.8552
226.3,0.7368,NA,NA,NA,NA,20130,0.7722,18020000,0.7961,NA,NA,9274,1.252
484.1,0.7852,NA,NA,NA,NA,59500,0.6122,13010000,0.7454,NA,NA,64320,0.5773
503,0.7698,NA,NA,NA,NA,35350,0.6825,2.43E+09,1.305,NA,NA,41450,0.5416
273.5,0.6454,NA,NA,NA,NA,66270,0.5648,184000,1.994,NA,NA,9924,1.009
262,0.8885,NA,NA,NA,NA,55810,0.5675,5.90E+09,0.6475,NA,NA,35740,0.7744
230.2,0.8041,NA,NA,NA,NA,53450,0.6012,3.48E+09,0.657,NA,NA,8594,0.9499
387.8,0.878,NA,NA,NA,NA,40790,0.6157,50020,1.452,NA,NA,12320,0.7348
488.5,0.5935,NA,NA,NA,NA,92000,0.524,8559000,1.228,NA,NA,32630,0.5771
487.5,0.8072,NA,NA,NA,NA,51700,0.6382,694900000,1.1,NA,NA,29680,0.5789
375.6,0.8514,NA,NA,NA,NA,107100,0.5098,721600,0.8918,NA,NA,12370,0.8261
223.7,0.6294,NA,NA,NA,NA,73080,0.5427,15780000,1.176,NA,NA,15980,0.7675
343.7,0.54,NA,NA,NA,NA,95890,0.527,144600000,1.291,NA,NA,10540,0.9722
624.7,0.7555,NA,NA,NA,NA,103000,0.5029,1044000,1.649,NA,NA,17480,0.6175
425.7,1.238,NA,NA,NA,NA,100500,0.5407,6379000,1.306,NA,NA,12990,0.8292
492.7,1.197,NA,NA,NA,NA,42910,0.6394,609300000,0.6398,NA,NA,20490,0.7026
163.8,0.8502,NA,NA,NA,NA,45540,0.6029,426900000,0.9906,NA,NA,41150,0.5686
239.6,0.6639,NA,NA,NA,NA,58140,0.5646,33050,1.94,NA,NA,22900,0.551
268.5,0.6552,NA,NA,NA,NA,49620,0.6096,270100,1.407,NA,NA,8484,1.051
184.7,0.5089,NA,NA,NA,NA,57210,0.5724,466900,1.554,NA,NA,11410,0.8037
240.6,0.6254,NA,NA,NA,NA,66790,0.5392,791400,1.367,NA,NA,12900,0.6957
268.8,0.5758,NA,NA,NA,NA,77700,0.5354,91750000,0.8709,NA,NA,17860,0.799
370.5,1.094,NA,NA,NA,NA,105700,0.544,24550,1.71,NA,NA,8853,0.7931
315.8,0.7263,NA,NA,NA,NA,113600,0.5274,967300,1.669,NA,NA,12550,0.8361
313.4,0.7569,NA,NA,NA,NA,190300,0.5012,197100,1.812,NA,NA,4294,1.141
352.1,0.7488,NA,NA,NA,NA,19630,0.8546,2303000,1.472,NA,NA,7230,1.132
360.9,0.7912,NA,NA,NA,NA,18570,0.8207,1723000,0.6634,NA,NA,4947,1.686
432.4,0.6549,NA,NA,NA,NA,30490,0.7295,1331000,1.585,NA,NA,5356,1.352
386.4,0.7374,NA,NA,NA,NA,22100,0.8818,9707000,0.7972,NA,NA,4419,1.311
324.7,0.9674,NA,NA,NA,NA,59900,0.6301,1.37E+09,0.6746,NA,NA,6632,1.167
224.1,0.6441,NA,NA,NA,NA,41470,0.6088,3990000,1.774,NA,NA,12140,0.6789
457.1,1.182,NA,NA,NA,NA,72080,0.5682,3210000,1.008,NA,NA,13860,0.7174
425.1,0.6472,NA,NA,NA,NA,113600,0.5027,316900,1.385,NA,NA,18470,0.6764
459.7,0.7637,NA,NA,NA,NA,77050,0.5062,194800,1.535,NA,NA,20010,0.7082
545.6,0.7146,NA,NA,NA,NA,70970,0.5725,608400000,1.318,NA,NA,15410,0.6368
264.1,0.887,NA,NA,NA,NA,61540,0.562,4940000,1.929,NA,NA,16340,0.8027
414.1,0.8652,NA,NA,NA,NA,58850,0.6038,3275000,0.9898,NA,NA,9706,0.8803
330.6,0.791,NA,NA,NA,NA,34150,0.6681,287500000,1.082,NA,NA,41250,0.5472
319.3,0.7859,NA,NA,NA,NA,19380,0.8631,677900000,1.706,NA,NA,38130,0.6324
156.9,0.6676,NA,NA,NA,NA,26440,0.8241,269100,1.498,NA,NA,19410,0.6343
203.2,0.731,NA,NA,NA,NA,42020,0.5653,261000,1.885,NA,NA,10300,1.074
211.5,0.5908,NA,NA,NA,NA,49980,0.5811,11360000,1.057,NA,NA,31260,0.6834
340.3,0.8916,NA,NA,NA,NA,88490,0.5231,3.79E+09,1.141,NA,NA,36190,0.5558
537.1,0.8173,NA,NA,NA,NA,77170,0.5075,2.25E+09,1.507,NA,NA,38120,0.5875
487.1,0.8673,NA,NA,NA,NA,77890,0.5478,1.51E+09,1.518,NA,NA,4759,1.307
303.2,1.043,NA,NA,NA,NA,30350,0.7186,1.40E+07,1.478,NA,NA,6668,1.024
330.6,0.6554,NA,NA,NA,NA,44210,0.6223,778500000,1.785,NA,NA,6268,1.496
415,0.8451,NA,NA,NA,NA,76360,0.5468,1691000,1.769,NA,NA,8914,0.7945
379,0.7951,NA,NA,NA,NA,55560,0.5736,859800000,1.226,NA,NA,12050,0.75
376.4,0.9872,NA,NA,NA,NA,87020,0.5245,9839000,0.9052,NA,NA,13450,0.7872
292.1,0.9301,NA,NA,NA,NA,86000,0.5416,2369000,1.427,NA,NA,12730,0.7656
509.6,1.334,NA,NA,NA,NA,32880,0.7246,24110000,0.991,NA,NA,21940,0.7024
353,1.384,NA,NA,NA,NA,26310,0.7447,9341000,1.88,NA,NA,13340,0.7209
